AllAuthors;FirstName1stAuthor;Gender;Place;Year;NumberOfAuthors;Title;Conference;FirstName2ndAuthor;Gender2;FirstName3rdAuthor;Gender3;FirstName4thAuthor;Gender4;FirstName5thAuthor;Gender5;FirstName6thAuthor;Gender6;FirstName7thAuthor;Gender7;FirstName8thAuthor;Gender8;FirstName9thAuthor;Gender9;FirstName10thAuthor;Gender10;FirstName11thAuthor;Gender11;FirstName12thAuthor;Gender12;FirstName13thAuthor;Gender13;FirstName14thAuthor;Gender14;FirstName15thAuthor;Gender15;FirstName16thAuthor;Gender16;FirstName17thAuthor;Gender17;Probability1;Probability2;Probability3;Probability4;Probability5;Probability6;Probability7;Probability8;Probability9;Probability10;Probability11;Probability12;Probability13;Probability14;Probability15;Probability16;Probability17;
['Wing Lam Sin', 'Bing Yen Chang', 'Andrew Horner '];Wing;None;USA;2019;3;THE ACOUSTIC FEATURES AND THEIR RELATIONSHIP TO THE EMOTIONAL CHARACTERISTICS OF RAIN SOUND EFFECTS ;ICMC;Bing;male;Andrew;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.59;0.63;0.99;;;;;;;;;;;;;;;
['Xianda Wang', 'Tae Hong Park '];Xianda;male;USA;2019;2;DRUMDUCTOR: A GESTURE-AUGMENTED DRUM PATTERN GENERATOR ;ICMC;Tae;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.86;;;;;;;;;;;;;;;;
['Xiyue Zhang '];Xiyue;None;USA;2019;1;PRIMARY EXPLORATION ON THE STYLE AND TECHNIQUES OF SHADOW OF BELLS, A REAL-TIME ELECTRONIC MUSIC SONG OF HANS TUTSCHKU;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;
['Yu Hong', 'Andrew Horner', 'Julius Smith '];Yu;None;USA;2019;3;EMOTIONAL EQUALIZER: AN EMOTION-BASED REAL-TIME MUSIC ARRANGEMENT SYSTEM;ICMC;Andrew;male;Julius;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.54;0.99;0.99;;;;;;;;;;;;;;;
['Yuriko Takakura', 'Masanori Nakayam', 'Issei Fujishiro '];Yuriko;female;USA;2019;3;SPECTRAIL: VISUAL ANALYTICS FOR COMPOSITIONAL PROCESSES WITH SOUND ANALYSIS AND SYNTHESIS;ICMC;Masanori;male;Issei;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.96;1.0;1.0;;;;;;;;;;;;;;;
['Zachary A. Lovitch '];Zachary;male;USA;2019;1;THE ECOLOGY AND ECONOMY OF FREQUENCY MODULATION: A REVISED HISTORY OF FM SYNTHESIS;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Zeynep Özcan', 'Anıl Çamcı '];Zeynep;female;USA;2019;2;COMPOSITIONAL CONSIDERATIONS IN THE DESIGN OF AN INTERACTIVE AGENT-BASED MUSICAL ECOSYSTEM ;ICMC;Anıl;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;0.0;;;;;;;;;;;;;;;;
['Aaron Einbond', 'Jean Bresson', 'Diemo Schwarz', 'Thibaut Carpentier'];Aaron;male;Chile;2021;4;Instrumental Radiation Patterns as Models for Corpus-Based Spatial Sound Synthesis: Cosmologies for Piano and 3D Electronics;ICMC;Jean;male;Diemo;male;Thibaut;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.95;0.94;0.99;;;;;;;;;;;;;;
['Adrien Bitton', 'Philippe Esling', 'Tatsuya Harada'];Adrien;male;Chile;2021;3;Neural Granular Sound Synthesis;ICMC;Philippe;male;Tatsuya;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;1.0;;;;;;;;;;;;;;;
['Alejandro Albornoz'];Alejandro;male;Chile;2021;1;Conjunction of aesthetics through computer music techniques in the acousmatic piece 'Sheffield 17';ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Alejandro Delgado', 'SKoT McDonald', 'Ning Xu', 'Charalampos Saitis', 'Mark Sandle'];Alejandro;male;Chile;2021;5;Learning Models for Query by Vocal Percussion: A Comparative Study;ICMC;SKoT;male;Ning;female;Charalampos;male;Mark;male;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.9;0.76;0.99;0.99;;;;;;;;;;;;;
['Alex Ness', 'Sam Pluta'];Alex;male;Chile;2021;2;The NessStretch: This PaulStretch Algorithm Goes to 9;ICMC;Sam;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9;0.81;;;;;;;;;;;;;;;;
['Alexandros Kontogeorgakopoulos', 'Odysseas Klissouras'];Alexandros;male;Chile;2021;2;Temporal Transformations and Spatial Explorations in Sound-Light Art;ICMC;Odysseas;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;1.0;;;;;;;;;;;;;;;;
['Alexis Story Crawshaw'];Alexis;male;Chile;2021;1;Electro-Somaesthetic Music: Spatial Approaches;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91;;;;;;;;;;;;;;;;;
['Andrew Henry', 'Charles Fox'];Andrew;male;Chile;2021;2;Open source hardware automated guitar player;ICMC;Charles;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;;
['Aozhi Liu', 'Yaqi Mei', 'Zifeng Cai', 'Zhaohua Zhu', 'Baoqiang Han', 'Jianfeng Li', 'Jing Xiao'];Aozhi;male;Chile;2021;7;Song Melody Generation Using Dual-Encoder Transformer with Input of Lyrics and Chord Progressions;ICMC;Yaqi;None;Zifeng;male;Zhaohua;male;Baoqiang;male;Jianfeng;male;Jing;None;;;;;;;;;;;;;;;;;;;;;1.0;0.68;1.0;0.89;1.0;0.94;0.75;;;;;;;;;;;
['Artemi-Maria Gioti'];Artemi-Maria;female;Chile;2021;1;Converge/Diverge: Collaborative Emergence in a Composition for Piano, Double Bass and Interactive Music System.;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;
['Arthur P. M. Tofani', 'Marcelo Queiroz'];Arthur;male;Chile;2021;2;Using tf-idf and cosine similarity in Shazam-based fingerprinting algorithms;ICMC;Marcelo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;;
['Becky Brown', 'Juan Carlos Vasquez'];Becky;female;Chile;2021;2;Autoethnography and Emotional Exposure as an Approach for Electroacoustic Music Composition;ICMC;Juan;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;0.98;;;;;;;;;;;;;;;;
['Bing Yen Chang', 'Hiu Ting Chan', 'Andrew Horner'];Bing;male;Chile;2021;3;The Effects of Pitch, Dynamics, and Vowel on the Emotional Characteristics of the Tenor Voice;ICMC;Hiu;None;Andrew;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.63;0.62;0.99;;;;;;;;;;;;;;;
['Cale Plut', 'Philippe Pasquier'];Cale;male;Chile;2021;2;LazyVoice: A multi-agent approach to fluid voice leading;ICMC;Philippe;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.83;0.99;;;;;;;;;;;;;;;;
['Carmine-Emanuele Cella', 'Daniele Ghisi', 'Vincent Lostanlen', 'Fabien L√©vy', 'Joshua Fineberg', 'Yan Maresz'];Carmine-Emanuele;male;Chile;2021;6;OrchideaSOL: a dataset of extended instrumental techniques for computer-aided orchestration;ICMC;Daniele;male;Vincent;male;Fabien;male;Joshua;male;Yan;male;;;;;;;;;;;;;;;;;;;;;;;0.0;0.95;0.99;0.99;0.99;0.75;;;;;;;;;;;;
['Charles Fox'];Charles;male;Chile;2021;1;MusicHastie: field based hierarchical music representation;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Christine Steinmeier', 'Dominic Becking'];Christine;female;Chile;2021;2;Headmusic: Exploring the Potential of a Low-Cost Commercial EEG Headset for the Creation of NIMEs;ICMC;Dominic;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;;;;;;;;;;;;;;;;
['Christophe Lengel√©'];Christophe;male;Chile;2021;1;The story and the insides of a spatial performance tool: Live 4 Life;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['David DeFilippo'];David;male;Chile;2021;1;An Investigation of Phase-Coupled Oscillators;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Diego de la Fuente Curaqueo'];Diego;male;Chile;2021;1;Emulating the Comdasuar;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Diego Espejo', 'Victor Poblete', 'Felipe Otondo', 'Pablo Huijse'];Diego;male;Chile;2021;4;High-Performance Tools to Generate and Visualize a Sonic Time-Lapse;ICMC;Victor;male;Felipe;male;Pablo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.98;0.99;;;;;;;;;;;;;;
['Drake Andersen'];Drake;male;Chile;2021;1;Networked Open Form: Conductor-Mediated Improvisation with Indra;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Dustin LEE', 'Wenyi SONG', 'Andrew HORNER'];Dustin;male;Chile;2021;3;A Head-to-Head Comparison of the Emotional Characteristics of the Violin and Erhu on the Butterfly Lovers Concerto;ICMC;Wenyi;female;Andrew;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.64;0.99;;;;;;;;;;;;;;;
['Edgar Berdahl', 'Landon Viator'];Edgar;male;Chile;2021;2;Sound Synthesis by Connecting a Chaotic Map to a Bank of Resonators;ICMC;Landon;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;;;;;;;;;;;;;;;;
['Edgar Berdahl'];Edgar;male;Chile;2021;1;Acoustic Control using the Internet of Things: Introducing the Concept of a Socially Responsible Noise Source;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Emilio L. Rojas', 'Rodrigo F. C√°diz'];Emilio;male;Chile;2021;2;DDSS: a diffusion-based extension of Xenakis' dynamic stochastic synthesis;ICMC;Rodrigo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;;
['Eric P. Nichols', 'Stefano Kalonaris', 'Gianluca Micchi', 'Anna Aljanaki'];Eric;male;Chile;2021;4;Modeling Baroque Two-Part Counterpoint with Neural Machine Translation;ICMC;Stefano;male;Gianluca;male;Anna;female;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.99;0.98;;;;;;;;;;;;;;
['F. Schumacher', 'V. Espinoza', 'R. Vergara', 'F. Mardones', 'A. Aranguiz', 'V. Aguilera'];F.;None;Chile;2021;6;Perceptual Evaluation of Sound Trajectories in Space;ICMC;V.;None;R.;None;F.;None;A.;None;V.;None;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;
['Fadi M. Al-Ghawanmeh', 'Melissa J. Scott', 'Mohamed-Amine Menacer', 'Kamel Smaili'];Fadi;male;Chile;2021;4;Predicting and Critiquing Machine Virtuosity: Mawwal Accompaniment as Case Study;ICMC;Melissa;female;Mohamed-Amine;male;Kamel;male;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;0.99;1.0;0.98;;;;;;;;;;;;;;
['Federico Nicol√°s C√°mara Halac', 'Mat√≠as Delgadino'];Federico;male;Chile;2021;2;DreamSound: Deep Activation Layer Sonification;ICMC;Mat√≠as;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.0;;;;;;;;;;;;;;;;
['Franco Lau', 'Bing Yen Chang', 'Yu Hong', 'Chuck Jee Chau', 'Beatrice Chu', 'Phoebe Mok', 'Giovanna Tang', 'Derek Siu Yuen Lam', 'Andrew Horner'];Franco;male;Chile;2021;9;An Experiential Course on Creative Sound Design;ICMC;Bing;male;Yu;None;Chuck;male;Beatrice;female;Phoebe;female;Giovanna;female;Derek;male;Andrew;male;;;;;;;;;;;;;;;;;0.99;0.63;0.54;0.98;0.98;0.97;0.99;0.99;0.99;;;;;;;;;
['Gabriel Dur√°n', 'Patricio de la Cuadra', 'Domingo Mery'];Gabriel;male;Chile;2021;3;Comparison of Methods for Bass Line Onset Detection;ICMC;Patricio;male;Domingo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.98;0.98;;;;;;;;;;;;;;;
['Halley Young'];Halley;female;Chile;2021;1;A Foundations-of-Computation Approach to Formalizing Musical Analysis;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.54;;;;;;;;;;;;;;;;;
['Henrik von Coler', 'Paul Schuladen', 'Nils Tonn√§tt'];Henrik;male;Chile;2021;3;SeamLess Integration of Spatial Sound Reproduction Methods;ICMC;Paul;male;Nils;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.99;;;;;;;;;;;;;;;
['Hiromu Yakura'];Hiromu;male;Chile;2021;1;Generate or Search: Naive Search Can Augment Piano Improvisation Experiences of Novice Players;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;
['Jack Woodbury'];Jack;male;Chile;2021;1;CORROSE: The Loudspeaker's Compositional Influence Acoustically Signified;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['James Dooley', 'Simon Hall'];James;male;Chile;2021;2;MYtrOmbone: Exploring gesture-controlled live electronics in solo trombone performance;ICMC;Simon;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;;;;;;;;;;;;;;;;
['Jeffrey Clark'];Jeffrey;male;Chile;2021;1;A Methodology for Virtualizing Complex Sound Sources into 6DoF Recordings;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Jeremy Hyrkas'];Jeremy;male;Chile;2021;1;Network Modulation Synthesis: New Algorithms for Generating Musical Audio Using Autoencoder Networks;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Jesse Austin-Stewart', 'Bridget Johnson'];Jesse;male;Chile;2021;2;Spatial System Design As A Spatio-Compositional Strategy;ICMC;Bridget;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91;0.99;;;;;;;;;;;;;;;;
['Jiayue Cecilia Wu'];Jiayue;female;Chile;2021;1;Designing and Practicing Embodied Sonic Meditation;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.57;;;;;;;;;;;;;;;;;
['Jon Christopher Nelson'];Jon;male;Chile;2021;1;MVerb and MVerb3D: Modified Waveguide Mesh Reverb Plugins;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Jon Kulpa', 'Edmund Campion', 'Carmine Cella'];Jon;male;Chile;2021;3;QuBits, a System for Interactive Sonic Virtual Reality;ICMC;Edmund;male;Carmine;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;0.98;;;;;;;;;;;;;;;
['Jos√© Ignacio L√≥pez Ram√≠rez Gast√≥n'];Jos√©;male;Chile;2021;1;Reconfiguring Instrumental Performance in Per√∫: Ensamble de Laptops de la Universidad Nacional de M√∫sica - ELUNM;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;;;;;;;;;;;;;;;;;
['Juan Carlos Vasquez', 'Omar Fraire'];Juan;male;Chile;2021;2;Current Activism Trends in Sound Art and Electroacoustic Music in Mexico and Colombia;ICMC;Omar;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.98;;;;;;;;;;;;;;;;
['Ka-wing Ho', 'Yiu Ling', 'Chuck-jee Chau'];Ka-wing;male;Chile;2021;3;Guitar Virtual Instrument using Physical Modelling with Collision Simulation;ICMC;Yiu;male;Chuck-jee;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.84;0.0;;;;;;;;;;;;;;;
['Ken Paoli'];Ken;male;Chile;2021;1;Phil Winsor's Musical Poetics: Music is Nothing, Music is Nowhere, Music is Nothing.;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Kittiphan Janbuala', 'PerMagnus Lindborg'];Kittiphan;male;Chile;2021;2;Sonification of Glitch-Video: Making and Evaluating Audiovisual Art made from the Betta Fish;ICMC;PerMagnus;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;
['Leandro Garber', 'TomaÃÅs Ciccola', 'Juan Cruz Amusategui'];Leandro;male;Chile;2021;3;AudioStellar, an open source corpus-based musical instrument for latent sound structure discovery and sonic experimentation;ICMC;TomaÃÅs;male;Juan;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.0;0.98;;;;;;;;;;;;;;;
['Lucy Irvine', 'Mathieu Barthet'];Lucy;female;Chile;2021;2;Immersive Spatial Sound Design Using Creative Commons Audio;ICMC;Mathieu;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;0.99;;;;;;;;;;;;;;;;
['Mara Helmuth', 'Yunze Mu', 'Grace Choi'];Mara;female;Chile;2021;3;CCM Center for Computer Music Studio 2021;ICMC;Yunze;male;Grace;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.96;1.0;0.97;;;;;;;;;;;;;;;
['Marcel Zaes Sagesser'];Marcel;male;Chile;2021;1;#otherbeats: A Hypermediated Playback System in Web Audio;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Masahiro Hamasaki', 'Keisuke Ishida', 'Tomoyasu Nakano', 'Masataka Goto'];Masahiro;male;Chile;2021;4;Songrium RelayPlay: A Web-based Listening Interface for Continuously Playing User-generated Music Videos of the Same Song with Different Singers;ICMC;Keisuke;male;Tomoyasu;male;Masataka;male;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;;;;;;;;;;;;;;
['Maxime Poret', 'S√©bastien Ibarboure', 'Matthias Robine', 'Emmanuel Duc', 'Nadine Couture', 'Myriam Desainte-Catherine', 'Catherine Semal'];Maxime;male;Chile;2021;7;Sonification for 3D-Printing Process Monitoring;ICMC;S√©bastien;male;Matthias;male;Emmanuel;male;Nadine;female;Myriam;female;Catherine;female;;;;;;;;;;;;;;;;;;;;;0.98;1.0;1.0;0.99;0.98;0.98;0.98;;;;;;;;;;;
['Micael Antunes', 'Danilo Rossetti', 'J√¥natas Manzolli'];Micael;male;Chile;2021;3;Emerging structures within microtime of Ligeti‚Äôs Continuum;ICMC;Danilo;male;J√¥natas;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.0;;;;;;;;;;;;;;;
['Michael Palumbo', 'Doug Van Nort', 'Rory Hoy'];Michael;male;Chile;2021;3;Disperf: A Platform for Telematic Music Concert Production;ICMC;Doug;male;Rory;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.69;;;;;;;;;;;;;;;
['Milad K. Mardakheh'];Milad;male;Chile;2021;1;Musical Model-based Sonification of Protein Fold-change Data in Cancer Cells;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;;;;;;;;;;;;;;;;;
['Miller Puckette', 'Kerry Hagan'];Miller;male;Chile;2021;2;Hand gesture to timbre converter;ICMC;Kerry;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.82;0.8;;;;;;;;;;;;;;;;
['Miriam Akkermann'];Miriam;female;Chile;2021;1;Vocabulary ruts in Mixed Music ‚Äì multifarious terms with many ascriptions;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Ning Ma', 'Guy Brown', 'Paolo Vecchiotti'];Ning;male;Chile;2021;3;AMI - Creating Coherent Musical Composition with Attention;ICMC;Guy;male;Paolo;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.76;0.98;0.99;;;;;;;;;;;;;;;
['Oliver Hancock'];Oliver;male;Chile;2021;1;A Ratio-based Interface for Musical Control of an Iterated Function System;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Or Perets', 'Revital Hollander'];Or;None;Chile;2021;2;Muzilator - A Plugin-Based Web Platform as a Collaborative Virtual Lab for Music Interaction;ICMC;Revital;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.56;0.88;;;;;;;;;;;;;;;;
['Peter F√§rber', 'Annkathrin P√∂pel'];Peter;male;Chile;2021;2;Kinetic Sound Sculpture: Sounding Influencer, a new Instrument with moving loudspeakers ‚Äì further development of the underlying pendulum model;ICMC;Annkathrin;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.97;;;;;;;;;;;;;;;;
['Petit Bertrand ( INRIA )', 'Manuel Serrano (INRIA)'];Petit;male;Chile;2021;2;Generative Music using reactive Programming;ICMC;Manuel;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.66;0.99;;;;;;;;;;;;;;;;
['Pierre Alexandre Tremblay', 'Gerard Roma', 'Owen Green'];Pierre;male;Chile;2021;3;Digging it: Programmatic Data Mining as Musicking;ICMC;Gerard;male;Owen;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.98;0.98;;;;;;;;;;;;;;;
['Raphael Radna', 'Jo√£o Oliveira'];Raphael;male;Chile;2021;2;Space Control: A New Software Application for Intuitive Sound Spatialization;ICMC;Jo√£o;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;;
['Ricardo Thomasi & Regis Rossi A. Faria'];Ricardo;male;Chile;2021;1;Moving Along Sound Spectra: An Experiment with Feedback Loop Topologies and Audible Ecosystems;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Richard Dudas'];Richard;male;Chile;2021;1;‚ÄúMachinatuosity‚Äù: Virtual Strings, Spectral Filters and Temperament Tools for ‚ÄòEsquisse‚Äô;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;
['Rob Hamilton'];Rob;male;Chile;2021;1;Ensemble Nonlinear: Low-cost Ensemble Performance with Networked Raspberry Pi‚Äôs;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Sabine Breitsameter'];Sabine;female;Chile;2021;1;Der H√∂rweg / The Listening Path: Augmenting Acoustic Ecology for a Rural Community;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;;;
['Sachi Tanihara'];Sachi;None;Chile;2021;1;The Expanding Universe of Poetic Voice;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.79;;;;;;;;;;;;;;;;;
['Satoru Fukayama', 'Masataka Goto'];Satoru;male;Chile;2021;2;Contour-Preserving Melody Conversion;ICMC;Masataka;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;1.0;;;;;;;;;;;;;;;;
['Sebastian L√∂bbers', 'Mathieu Barthet', 'Gy√∂rgy Fazekas'];Sebastian;male;Chile;2021;3;Sketching Sounds: an exploratory study on sound-shape associations;ICMC;Mathieu;male;Gy√∂rgy;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;0.98;;;;;;;;;;;;;;;
['Seungsoon Park', 'Jongpil Lee', 'Taewan Kim', 'Tae Hong Park', 'Joonhyung Bae', 'Juhan Nam'];Seungsoon;male;Chile;2021;6;Mixed Scape: Development of Framework and Artwork for Auditory Correspondence in Mixed Reality;ICMC;Jongpil;male;Taewan;male;Tae;male;Joonhyung;male;Juhan;male;;;;;;;;;;;;;;;;;;;;;;;0.8;1.0;1.0;0.86;1.0;0.97;;;;;;;;;;;;
['Syed Rifat Mahmud Rafee', 'Gyorgy Fazekas', 'Geraint A. Wiggins'];Syed;male;Chile;2021;3;Performer Identification From Symbolic Representation of Music Using Statistical Models;ICMC;Gyorgy;male;Geraint;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.79;0.98;;;;;;;;;;;;;;;
['Tae Hong Park', 'Scott Murakami'];Tae;male;Chile;2021;2;The Soundscaper: A Tool for Soundscape Re-Synthesis;ICMC;Scott;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.86;0.99;;;;;;;;;;;;;;;;
['Teodoro Dannemann', 'Mathieu Barthet'];Teodoro;male;Chile;2021;2;SonicDraw: a web-based tool for sketching sounds and drawings;ICMC;Mathieu;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.99;;;;;;;;;;;;;;;;
['Thales Roel Pessanha', 'Thiago Roque', 'Guilherme Zanchetta', 'Lucas Pereira:Gabrielly de Oliveira', 'Bruna Pinheiro', 'Renata Paulino', 'Tiago Tavares'];Thales;male;Chile;2021;7;InFracta: the Body as an Augmented Instrument in a Collaborative, Multi-Modal Piece;ICMC;Thiago;male;Guilherme;male;Lucas;male;Bruna;female;Renata;female;Tiago;male;;;;;;;;;;;;;;;;;;;;;0.97;0.99;0.99;0.98;0.98;0.99;0.99;;;;;;;;;;;
['Thiago Rossi Roque', 'Rafael Santos Mendes'];Thiago;male;Chile;2021;2;Timbre Manipulation from Audio Features Based on Fractal Additive Synthesis;ICMC;Rafael;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.99;;;;;;;;;;;;;;;;
['Tian Cheng', 'Satoru Fukayama', 'Masataka Goto'];Tian;female;Chile;2021;3;Joint Beat and Downbeat Tracking Based on CRNN Models and a Comparison of Using Different Context Ranges in Convolutional Layers;ICMC;Satoru;male;Masataka;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.71;0.99;1.0;;;;;;;;;;;;;;;
['Toshihisa Tsuruoka', 'Leo Chang', 'Oliver Hickman'];Toshihisa;male;Chile;2021;3;Ear Talk ‚ÄãProject: Repurposing YouTube Live for Online Co-composition and Performance;ICMC;Leo;male;Oliver;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.94;0.99;;;;;;;;;;;;;;;
['Tsung-Ching Liu'];Tsung-Ching;male;Chile;2021;1;The Real-time Synthesis of the Ancient Chinese ChimeBells Instrument of Marquis Yi in Max/MSP Using FZARMA Model;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;
['Vesa Norilo - Josu√© Moreno'];Vesa;male;Chile;2021;1;Aural Weather Etude: Installing Atmosphere;ICMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.86;;;;;;;;;;;;;;;;;
['Vesa Norilo', 'Andrew Brown'];Vesa;male;Chile;2021;2;Pi-Shaker: A New Workflow for Augmented Instruments;ICMC;Andrew;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.86;0.99;;;;;;;;;;;;;;;;
['Virginia de las Pozas', 'Tae Hong Park'];Virginia;female;Chile;2021;2;"Extramentality;Automatic Mapping Generation for Gestural Control of Electronic Music";ICMC;Tae;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;0.86;;;;;;;;;;;;;;;;
