Name,Title,Names
Kisoon,New Interfaces for Traditional Korean Music and Dance,"[u'Ajay Kapur', u'Dae Hong Kim', u'Raakhi Kapur', u'Kisoon Eom']"
Fumitaka,Development of A Learning Environment for Playing Erhu by Diagnosis and Advice regarding Finger Position on Strings,"[u'Fumitaka Kikukawa', u'Sojiro Ishihara', u'Masato Soga', u'Hirokazu Taki']"
Sojiro,Development of A Learning Environment for Playing Erhu by Diagnosis and Advice regarding Finger Position on Strings,"[u'Fumitaka Kikukawa', u'Sojiro Ishihara', u'Masato Soga', u'Hirokazu Taki']"
Hirokazu,Development of A Learning Environment for Playing Erhu by Diagnosis and Advice regarding Finger Position on Strings,"[u'Fumitaka Kikukawa', u'Sojiro Ishihara', u'Masato Soga', u'Hirokazu Taki']"
Taehun,Modelling Gestures in Music Performance with Statistical Latent-State Models,"[u'Taehun Kim', u'Stefan Weinzierl']"
Naotoshi,Providing a feeling of other remote learners' presence in an online learning environment via realtime sonification of Moodle access log,"[u'Toshihiro KITA', u'Naotoshi Osaka']"
Chi-Hsia,Audience Experience in Sound Performance,"[u'Chi-Hsia Lai', u'Till Bovermann']"
EunJoo,Paralinguistic Microphone,"[u'Alex McLean', u'EunJoo Shin', u'Kia Ng']"
Seiichiro,POWDER BOX: An Interactive Device with Sensor Based Replaceable Interface For Musical Session,"[u'Yoshihito Nakanishi', u'Seiichiro Matsumura', u'Chuichi Arakawa']"
Chuichi,POWDER BOX: An Interactive Device with Sensor Based Replaceable Interface For Musical Session,"[u'Yoshihito Nakanishi', u'Seiichiro Matsumura', u'Chuichi Arakawa']"
Sangbong,Musical Poi (mPoi),[u'Sangbong Nam']
Gibeom,Sound Spray - can-shaped sound effect device,"[u'Gibeom Park', u'Kyogu Lee']"
Kyogu,Sound Spray - can-shaped sound effect device,"[u'Gibeom Park', u'Kyogu Lee']"
Saebyul,Sound Surfing Network (SSN): Mobile Phone-based Sound Spatialization with Audience Collaboration,"[u'Saebyul Park', u'Seonghoon Ban', u'Dae Ryong Hong', u'Woon Seung Yeo']"
Hong-va,Computer Assisted Melo-rhythmic Generation of Traditional Chinese Music from Ink Brush Calligraphy,"[u'Will W. W. Tang', u'Stephen Chan', u'Grace Ngai', u'Hong-va Leong']"
Hayami,Construction of a System for Recognizing Touch of Strings for Guitar,"[u'Hayami Tobise', u'Yoshinari Takegawa', u'Tsutomu Terada', u'Masahiko Tsukamoto']"
Yoshinari,Construction of a System for Recognizing Touch of Strings for Guitar,"[u'Hayami Tobise', u'Yoshinari Takegawa', u'Tsutomu Terada', u'Masahiko Tsukamoto']"
Johnty,PENny: An Extremely Low-Cost Pressure-Sensitive Stylus for Existing Capacitive Touchscreens,"[u'Johnty Wang', u""Nicolas d'Alessandro"", u'Aura Pon', u'Sidney Fels']"
Jaeseong,Remix_Dance 3: Improvisatory Sound Displacing on Touch Screen-Based Interface,"[u'Jaeseong You', u'Red Wierenga']"
Yehiel,A Max/MSP Approach for Incorporating Digital Music via Laptops in Live Performances of Music Bands,"[u'Yehiel Amo', u'Gil Zissu', u'Shaltiel Eloul', u'Eran Shlomi', u'Dima Schukin', u'Almog Kalifa']"
Shaltiel,A Max/MSP Approach for Incorporating Digital Music via Laptops in Live Performances of Music Bands,"[u'Yehiel Amo', u'Gil Zissu', u'Shaltiel Eloul', u'Eran Shlomi', u'Dima Schukin', u'Almog Kalifa']"
Anders-Petter,Designing Sound for Recreation and Well-Being,"[u'Anders-Petter Andersson', u'Birgitta Cappelen', u'Fredrik Olofsson']"
Adrián,The Manipuller II: Strings within a Force Sensing Ring,"[u""Adria\\'n Barenca"", u'Milos Corak']"
Jun-qi,WIJAM: A Mobile Collaborative Improvisation Platform under Master-players Paradigm,"[u'Jun-qi Deng', u'Francis Chi Moon Lau', u'Ho-Cheung Ng', u'Yu-Kwong Kwok', u'Hung-Kwan Chen', u'Yu-heng Liu']"
Ho-Cheung,WIJAM: A Mobile Collaborative Improvisation Platform under Master-players Paradigm,"[u'Jun-qi Deng', u'Francis Chi Moon Lau', u'Ho-Cheung Ng', u'Yu-Kwong Kwok', u'Hung-Kwan Chen', u'Yu-heng Liu']"
Yu-Kwong,WIJAM: A Mobile Collaborative Improvisation Platform under Master-players Paradigm,"[u'Jun-qi Deng', u'Francis Chi Moon Lau', u'Ho-Cheung Ng', u'Yu-Kwong Kwok', u'Hung-Kwan Chen', u'Yu-heng Liu']"
Hung-Kwan,WIJAM: A Mobile Collaborative Improvisation Platform under Master-players Paradigm,"[u'Jun-qi Deng', u'Francis Chi Moon Lau', u'Ho-Cheung Ng', u'Yu-Kwong Kwok', u'Hung-Kwan Chen', u'Yu-heng Liu']"
Yu-heng,WIJAM: A Mobile Collaborative Improvisation Platform under Master-players Paradigm,"[u'Jun-qi Deng', u'Francis Chi Moon Lau', u'Ho-Cheung Ng', u'Yu-Kwong Kwok', u'Hung-Kwan Chen', u'Yu-heng Liu']"
Haojing,Sketch-Based Musical Composition and Performance,"[u'Haojing Diao', u'Yanchao Zhou', u'Christopher Andrew Harte', u'Nick Bryan-Kinns']"
Yanchao,Sketch-Based Musical Composition and Performance,"[u'Haojing Diao', u'Yanchao Zhou', u'Christopher Andrew Harte', u'Nick Bryan-Kinns']"
Frédéric,Probabilistic Models for Designing Motion and Sound Relationships,"[u'Jules Fran\\c{c}oise', u'Norbert Schnell', u'Riccardo Borghesi', u""Fre\\'de\\'ric Bevilacqua""]"
Zeyu,AudioQuilt: {2D} Arrangements of Audio Samples using Metric Learning and Kernelized Sorting,"[u'Ohad Fried', u'Zeyu Jin', u'Reid Oda', u'Adam Finkelstein']"
Jiffer,endo/exo Making Art and Music with Distributed Computing,"[u'Jiffer Harriman', u'Michael Theodore', u'Nikolaus Correll', u'Hunter Ewen']"
Gunho,TAPIR Sound Tag: An Enhanced Sonic Communication Framework for Audience Participatory Performance,"[u'Jimin Jeon', u'Gunho Chae', u'Edward Jangwon Lee', u'Woon Seung Yeo']"
Jônatas,"Composing for DMIs Entoa, a Dedicate Piece for Intonaspacio","[u'Clayton Mamedes', u'Mailis Rodrigues', u'Marcelo M. Wanderley', u'Jo\\^natas Manzolli', u'Denise H. L. Garcia', u'Paulo Ferreira-Lopes']"
Stéphane,A Morphological Analysis of Audio-Objects and their Control Methods for {3D} Audio,"[u'Justin Mathew', u""Ste\\'phane Huot"", u'Alan Blum']"
Seiichiro,B.O.M.B. -Beat Of Magic Box -: Stand-Alone Synthesizer Using Wireless Synchronization System For Musical Session and Performance,"[u'Yoshihito Nakanishi', u'Seiichiro Matsumura', u'Chuichi Arakawa']"
Chuichi,B.O.M.B. -Beat Of Magic Box -: Stand-Alone Synthesizer Using Wireless Synchronization System For Musical Session and Performance,"[u'Yoshihito Nakanishi', u'Seiichiro Matsumura', u'Chuichi Arakawa']"
Dongjuan,Low-Latency Audio Pitch Tracking: A Multi-Modal Sensor-Assisted Approach,"[u'Laurel Pardue', u'Dongjuan Nian', u'Christopher Harte', u'Andrew McPherson']"
Tejaswinee,TrAP: An Interactive System to Generate Valid Raga Phrases from Sound-Tracings,"[u'Udit Roy', u'Tejaswinee Kelkar', u'Bipin Indurkhya']"
Álvaro,Dynamics in Music Conducting: A Computational Comparative Study Among Subjects,"[u""A\\'lvaro Saras\\'ua"", u'Enric Guaus']"
Diemo,Rich Contacts: Corpus-Based Convolution of Contact Interaction Sound for Enhanced Musical Expression,"[u'Diemo Schwarz', u'Pierre Alexandre Tremblay', u'Alex Harker']"
Jeong-seob,A Gesture Detection with Guitar Pickup and Earphones,"[u'Sangwon Suh', u'Jeong-seob Lee', u'Woon Seung Yeo']"
Yemin,"Simplified Expressive Mobile Development with NexusUI, NexusUp, and NexusDrop","[u'Benjamin Taylor', u'Jesse Allison', u'William Conlin', u'Yemin Oh', u'Daniel Holmes']"
Atau,PiaF: A Tool for Augmented Piano Performance Using Gesture Variation Following,"[u'Alejandro Van Zandt-Escobar', u'Baptiste Caramiaux', u'Atau Tanaka']"
Chikashi,Gestural Electronic Music using Machine Learning as Generative Device,"[u'Jan C. Schacher', u'Chikashi Miyama', u'Daniel Bisig']"
Sébastien,Multi-point vibrotactile feedback for an expressive musical interface,"[u'Stefano Papetti', u""Se\\'bastien Schiesser"", u'Martin Fr\\""ohlich']"
Jiffer,Pd Poems and Teaching Tools,[u'Jiffer Harriman']
Rhushabh,Music-based respiratory biofeedback in visually-demanding tasks,"[u'Rhushabh Bhandari', u'Avinash Parnandi', u'Eva Shipp', u'Beena Ahmed', u'Ricardo Gutierrez-Osuna']"
Jiffer,Feedback Lapsteel : Exploring Tactile Transducers As String Actuators,[u'Jiffer Harriman']
Jingyin,Developing A Physical Gesture Acquisition System for Guqin Performance,"[u'Jingyin He', u'Ajay Kapur', u'Dale Carnegie']"
Kazuomi,Sense of Space: The Audience Participation Music Performance with High-Frequency Sound ID,"[u'Masami Hirabayashi', u'Kazuomi Eshima']"
Śebastien,Fields: An Exploration into the use of Mobile Devices as a Medium for Sound Diffusion,"[u'Tim Shaw', u""S\\'ebastien Piquemal"", u'John Bowers']"
Jérôme,"Visual Representation in GENESIS as a tool for Physical Modeling, Sound Synthesis and Musical Composition","[u""Je\\'ro\\^me Villeneuve"", u'Claude Cadoz', u""Nicolas Castagne\\'""]"
Jerônimo,Designing DMIs for Popular Music in the Brazilian Northeast: Lessons Learned,"[u'Jero\\^nimo Barbosa', u'Filipe Calegario', u'Jo\\~ao Tragtenberg', u'Giordano Cabral', u'Geber Ramalho', u'Marcelo M. Wanderley']"
Jõao,Designing DMIs for Popular Music in the Brazilian Northeast: Lessons Learned,"[u'Jero\\^nimo Barbosa', u'Filipe Calegario', u'Jo\\~ao Tragtenberg', u'Giordano Cabral', u'Geber Ramalho', u'Marcelo M. Wanderley']"
Geber,Designing DMIs for Popular Music in the Brazilian Northeast: Lessons Learned,"[u'Jero\\^nimo Barbosa', u'Filipe Calegario', u'Jo\\~ao Tragtenberg', u'Giordano Cabral', u'Geber Ramalho', u'Marcelo M. Wanderley']"
Jiffer,Start 'em Young: Digital Music Instrument for Education,[u'Jiffer Harriman']
Zeyu,MalLo: A Distributed Synchronized Musical Instrument Designed For Internet Performance,"[u'Zeyu Jin', u'Reid Oda', u'Adam Finkelstein', u'Rebecca Fiebrink']"
Atau,Prototyping Audiovisual Performance Tools: A Hackathon Approach,"[u'Nuno N. Correia', u'Atau Tanaka']"
Sang-Won,Indoor localization during installations using WiFi,"[u'Antonio Deusany de Carvalho Junior', u'Sang-Won Lee']"
Joëlle,AirPiano: A Multi-Touch Keyboard with Hovering Control,"[u""Nicolas d'Alessandro"", u'Joe\\""lle Tilmanne', u'Ambroise Moreau', u'Antonin Puleo']"
Sang-Won,Web-Based Temporal Typography for Musical Expression and Performance,"[u'Sang-Won Lee', u'Georg Essl']"
Hsin-Ming,Harmonic Intonation Trainer: An Open Implementation in Pure Data,"[u'Hsin-Ming Lin', u'Chin-Ming Lin']"
Chin-Ming,Harmonic Intonation Trainer: An Open Implementation in Pure Data,"[u'Hsin-Ming Lin', u'Chin-Ming Lin']"
Stéphane,What does 'Evaluation' mean for the NIME community?,"[u'Jeronimo Barbosa', u'Joseph Malloch', u'Marcelo Wanderley', u""Ste\\'phane Huot""]"
Johnty,Womba: A Musical Instrument for an Unborn Child,"[u'Aura Pon', u'Johnty Wang', u'Laurie Radford', u'Sheelagh Carpendale']"
Diemo,Tingle: A Digital Music Controller Re-Capturing the Acoustic Instrument Experience,"[u'Rhys Duindam', u'Diemo Schwarz', u'Hans Leeuw']"
Yoo-Hsiu,Tibetan Singing Prayer Wheel: A Hybrid Musical- Spiritual Instrument Using Gestural Control,"[u'Cecilia Wu', u'Yoo-Hsiu Yeh', u'Romain Michon', u'Nathan Weitzner', u'Jonathan Abel', u'Matthew Wright']"
