AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['José Miguel Fernandez', 'Thomas Köppel', 'Nina Verstraete', 'Grégoire Lorieux', 'Alexander Vert', 'Philippe Spiesser']",José,male,"Copenhagen, Denmark",2017,6,"GeKiPe, a gesture-based interface for audiovisual performance",NIME,Thomas,male,Nina,female,Grégoire,male,Alexander,male,Philippe,male,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.98,1.0,0.99,0.99,,,,,,,,,,,,
"['Jeppe Larsen', 'Hendrik Knoche']",Jeppe,male,"Copenhagen, Denmark",2017,2,Hear you later alligator: How delayed auditory feedback affects non-musically trained people's strumming,NIME,Hendrik,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Michael Mulshine', 'Jeff Snyder']",Michael,male,"Copenhagen, Denmark",2017,2,OOPS: An Audio Synthesis Library in C for Embedded (and Other) Applications,NIME,Jeff,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Maria Kallionpää', 'Chris Greenhalgh', 'Adrian Hazzard', 'David M. Weigl', 'Kevin R. Page', 'Steve Benford']",Maria,female,"Copenhagen, Denmark",2017,6,Composing and Realising a Game-like Performance for Disklavier and Electronics,NIME,Chris,male,Adrian,male,David,male,Kevin,male,Steve,male,,,,,,,,,,,,,,,,,,,,,,,0.98,0.9,0.99,0.99,0.99,0.99,,,,,,,,,,,,
['Thor Magnusson'],Thor,male,"Copenhagen, Denmark",2017,1,Contextualizing Musical Organics: An Ad-hoc Organological Classification Approach,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
['Stefano Fasciani'],Stefano,male,"Copenhagen, Denmark",2017,1,Physical Audio Digital Filters,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
['Benjamin Taylor'],Benjamin,male,"Copenhagen, Denmark",2017,1,A History of the Audience as a Speaker Array,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Takumi Ogata', 'Gil Weinberg']",Takumi,male,"Copenhagen, Denmark",2017,2,Robotically Augmented Electric Guitar for Shared Control,NIME,Gil,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.92,,,,,,,,,,,,,,,,
['Ben Neill'],Ben,male,"Copenhagen, Denmark",2017,1,The Mutantrumpet,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,
['Scott Smallwood'],Scott,male,"Copenhagen, Denmark",2017,1,Locus Sono: A Listening Game for NIME,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Richard Polfreman', 'Benjamin Oliver']",Richard,male,"Copenhagen, Denmark",2017,2,"Rubik's Cube, Music's Cube",NIME,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Charles Martin', 'Jim Torresen']",Charles,male,"Copenhagen, Denmark",2017,2,MicroJam: An App for Sharing Tiny Touch-Screen Performances,NIME,Jim,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Ryu Nakagawa', 'Shotaro Hirata']",Ryu,male,"Copenhagen, Denmark",2017,2,AEVE: An Audiovisual Experience Using VRHMD and EEG,NIME,Shotaro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.0,,,,,,,,,,,,,,,,
"['Rodrigo Cadiz', 'Alvaro Sylleros']",Rodrigo,male,"Copenhagen, Denmark",2017,2,Arcontinuo: the Instrument of Change,NIME,Alvaro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
['Rob Blazey'],Rob,male,"Copenhagen, Denmark",2017,1,Kalimbo: an Extended Thumb Piano and Minimal Control Interface,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Joseph Tilbian', 'Andres Cabrera', 'Steffen Martin', 'Lukasz Olczyk']",Joseph,male,"Copenhagen, Denmark",2017,4,Stride on Saturn M7 for Interactive Musical Instrument Design,NIME,Andres,male,Steffen,male,Lukasz,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,1.0,0.99,,,,,,,,,,,,,,
"['Tetsuro Kitahara', 'Sergio Giraldo', 'Rafael Ramírez']",Tetsuro,male,"Copenhagen, Denmark",2017,3,JamSketch: A Drawing-based Real-time Evolutionary Improvisation Support System,NIME,Sergio,male,Rafael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,,,,,,,,,,,,,,,
"['Jacob Harrison', 'Andrew McPherson']",Jacob,male,"Copenhagen, Denmark",2017,2,An Adapted Bass Guitar for One-Handed Playing,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
['Krzysztof Cybulski'],Krzysztof,male,"Copenhagen, Denmark",2017,1,Feedboxes,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"['Seth Glickman', 'Byunghwan Lee', 'Fu Yen Hsiao', 'Shantanu Das']",Seth,male,"Copenhagen, Denmark",2017,4,Music Everywhere --- Augmented Reality Piano Improvisation Learning System,NIME,Byunghwan,male,Fu,male,Shantanu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,0.77,1.0,,,,,,,,,,,,,,
"['Juan Bender', 'Gabriel Lecup', 'Sergio Fernandez']",Juan,male,"Copenhagen, Denmark",2017,3,Song Kernel --- Explorations in Intuitive Use of Harmony,NIME,Gabriel,male,Sergio,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,,,,,,,,,,,,,,,
"['Oeyvind Brandtsegg', 'Trond Engum', 'Bernt Isak Wærstad']",Oeyvind,male,"Blacksburg, Virginia, USA",2018,3,Working methods and instrument design for cross-adaptive sessions,NIME,Trond,male,Bernt,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.97,,,,,,,,,,,,,,,
"['Eran Egozy', 'Eun Young Lee']",Eran,male,"Blacksburg, Virginia, USA",2018,2,*12*: Mobile Phone-Based Audience Participation in a Chamber Music Performance,NIME,Eun,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.82,,,,,,,,,,,,,,,,
['Anders Lind'],Anders,male,"Blacksburg, Virginia, USA",2018,1,Animated Notation in Multiple Parts for Crowd of Non-professional Performers,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Andrew R. Brown', 'Matthew Horrigan', 'Arne Eigenfeldt', 'Toby Gifford', 'Daniel Field', 'Jon McCormack']",Andrew,male,"Blacksburg, Virginia, USA",2018,6,Interacting with Musebots,NIME,Matthew,male,Arne,male,Toby,male,Daniel,male,Jon,male,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.98,0.95,0.99,0.98,,,,,,,,,,,,
"['Chris Kiefer', 'Cecile Chevalier']",Chris,male,"Blacksburg, Virginia, USA",2018,2,Towards New Modes of Collective Musical Expression through Audio Augmented Reality,NIME,Cecile,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.98,,,,,,,,,,,,,,,,
"['Tomoya Matsuura', 'kazuhiro jo']",Tomoya,male,"Blacksburg, Virginia, USA",2018,2,"Aphysical Unmodeling Instrument: Sound Installation that Re-Physicalizes a Meta-Wind-Instrument Physical Model, Whirlwind",NIME,kazuhiro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
['Ulf A. S. Holbrook'],Ulf,male,"Blacksburg, Virginia, USA",2018,1,An approach to stochastic spatialization --- A case of Hot Pocket,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Cory Champion', 'Mo H Zareei']",Cory,male,"Blacksburg, Virginia, USA",2018,2,AM MODE: Using AM and FM Synthesis for Acoustic Drum Set Augmentation,NIME,Mo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.8,,,,,,,,,,,,,,,,
"['Don Derek Haddad', 'Joe Paradiso']",Don,male,"Blacksburg, Virginia, USA",2018,2,"Kinesynth: Patching, Modulating, and Mixing a Hybrid Kinesthetic Synthesizer.",NIME,Joe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.95,,,,,,,,,,,,,,,,
['Riccardo Marogna'],Riccardo,male,"Blacksburg, Virginia, USA",2018,1,CABOTO: A Graphic-Based Interactive System for Composing and Performing Electronic Music,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Oliveira da Silveira, Gustavo']",Gustavo,male,"Blacksburg, Virginia, USA",2018,1,The XT Synth: A New Controller for String Players,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Astrid Bin', 'Nick Bryan-Kinns', 'Andrew P. McPherson']",Astrid,female,"Blacksburg, Virginia, USA",2018,3,Risky business: Disfluency as a design strategy,NIME,Nick,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.98,0.99,,,,,,,,,,,,,,,
['Rachel Gibson'],Rachel,female,"Blacksburg, Virginia, USA",2018,1,The Theremin Textural Expander,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Mert Toka', 'Can Ince', 'Mehmet Aydin Baytas']",Mert,male,"Blacksburg, Virginia, USA",2018,3,Siren: Interface for Pattern Languages,NIME,Can,male,Mehmet,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.95,0.97,,,,,,,,,,,,,,,
"['Spencer Salazar', 'Andrew Piepenbrink', 'Sarah Reid']",Spencer,male,"Blacksburg, Virginia, USA",2018,3,Developing a Performance Practice for Mobile Music Technology,NIME,Andrew,male,Sarah,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.99,0.98,,,,,,,,,,,,,,,
"['Ali Momeni', 'Daniel McNamara', 'Jesse Stiles']",Ali,male,"Blacksburg, Virginia, USA",2018,3,MOM: an Extensible Platform for Rapid Prototyping and Design of Electroacoustic Instruments,NIME,Daniel,male,Jesse,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.99,0.91,,,,,,,,,,,,,,,
"['Ben Luca Robertson', 'Luke Dahl']",Ben,male,"Blacksburg, Virginia, USA",2018,2,Harmonic Wand:  An Instrument for Microtonal Control and Gestural Excitation,NIME,Luke,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.99,,,,,,,,,,,,,,,,
"['McLean J Macionis', 'Ajay Kapur']",McLean,male,"Blacksburg, Virginia, USA",2018,2,Sansa: A Modified Sansula for Extended Compositional Techniques Using Machine Learning,NIME,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.99,,,,,,,,,,,,,,,,
"['Luca Turchet', 'Mathieu Barthet']",Luca,male,"Blacksburg, Virginia, USA",2018,2,Demo of interactions between a performer playing a Smart Mandolin and audience members using Musical Haptic Wearables,NIME,Mathieu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.99,,,,,,,,,,,,,,,,
"['Steven Kemper', 'Scott Barton']",Steven,male,"Blacksburg, Virginia, USA",2018,2,Mechatronic Expression: Reconsidering Expressivity in Music for Robotic Instruments ,NIME,Scott,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
['Courtney Brown'],Courtney,female,"Blacksburg, Virginia, USA",2018,1,Interactive Tango Milonga: Designing {DMI}s for the Social Dance Context ,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,
['Rebecca Kleinberger'],Rebecca,female,"Blacksburg, Virginia, USA",2018,1,Vocal Musical Expression with a Tactile Resonating Device and its Psychophysiological Effects,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Patrick Palsbröker', 'Christine Steinmeier', 'Dominic Becking']",Patrick,male,"Blacksburg, Virginia, USA",2018,3,A Framework for Modular VST-based NIMEs Using EDA and Dependency Injection,NIME,Christine,female,Dominic,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Jack Atherton', 'Ge Wang']",Jack,male,"Blacksburg, Virginia, USA",2018,2,Chunity: Integrated Audiovisual Programming in Unity,NIME,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.68,,,,,,,,,,,,,,,,
"['Steffan Carlos Ianigro', 'Oliver Bown']",Steffan,male,"Blacksburg, Virginia, USA",2018,2,Exploring Continuous Time Recurrent Neural Networks through Novelty Search,NIME,Oliver,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"['John Bowers', 'Owen Green']",John,male,"Blacksburg, Virginia, USA",2018,2,All the Noises: Hijacking Listening Machines for Performative Research,NIME,Owen,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Rodrigo Schramm', 'Federico Visi', 'André Brasil', 'Marcelo O Johann']",Rodrigo,male,"Blacksburg, Virginia, USA",2018,4,A polyphonic pitch tracking embedded system for rapid instrument augmentation,NIME,Federico,male,André,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,1.0,0.99,,,,,,,,,,,,,,
"['Koray Tahiroglu', 'Michael Gurevich', 'Benjamin Knapp']",Koray,male,"Blacksburg, Virginia, USA",2018,3,Contextualising Idiomatic Gestures in Musical Interactions with NIMEs,NIME,Michael,male,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.99,,,,,,,,,,,,,,,
['Lamtharn Hantrakul'],Lamtharn,None,"Blacksburg, Virginia, USA",2018,1,GestureRNN:  A neural gesture system for the Roli Lightpad Block,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
"['Di Donato, Balandino ', 'Jamie Bullock', 'Atau Tanaka']",Balandino,None,"Blacksburg, Virginia, USA",2018,3,Myo Mapper: a Myo armband to OSC mapper,NIME,Jamie,male,Atau,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.81,0.67,,,,,,,,,,,,,,,
"['Federico Visi', 'Luke Dahl']",Federico,male,"Blacksburg, Virginia, USA",2018,2,Real-Time Motion Capture Analysis and Music Interaction with the Modosc Descriptor Library,NIME,Luke,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Cagan Arslan', 'Florent Berthaut', 'Jean Martinet', 'Ioan Marius Bilasco', 'Laurent Grisoni']",Cagan,male,"Blacksburg, Virginia, USA",2018,5,The Phone with the Flow: Combining Touch + Optical Flow in Mobile Instruments,NIME,Florent,male,Jean,male,Ioan,male,Laurent,male,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.99,0.95,0.98,0.99,,,,,,,,,,,,,
"['Lars Engeln', 'Dietrich Kammer', 'Leon Brandt', 'Rainer Groh']",Lars,male,"Blacksburg, Virginia, USA",2018,4,Multi-Touch Enhanced Visual Audio-Morphing,NIME,Dietrich,male,Leon,male,Rainer,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.91,0.98,0.99,,,,,,,,,,,,,,
['Anıl Çamcı'],Anıl,None,"Blacksburg, Virginia, USA",2018,1,GrainTrain: A Hand-drawn Multi-touch Interface for Granular Synthesis,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
"['gus xia', 'Roger B. Dannenberg']",gus,male,"Blacksburg, Virginia, USA",2018,2,ShIFT: A Semi-haptic Interface for Flute Tutoring,NIME,Roger,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.98,,,,,,,,,,,,,,,,
"['Fabio Morreale', 'Andrew P. McPherson', 'Marcelo Wanderley']",Fabio,male,"Blacksburg, Virginia, USA",2018,3,NIME Identity from the Performer's Perspective,NIME,Andrew,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
['Anna Xambó'],Anna,female,"Blacksburg, Virginia, USA",2018,1,Who Are the Women Authors in NIME?–Improving Gender Balance in NIME Research,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Sarah Reid', 'Sara Sithi-Amnuai', 'Ajay Kapur']",Sarah,female,"Blacksburg, Virginia, USA",2018,3,"Women Who Build Things: Gestural Controllers, Augmented Instruments, and Musical Mechatronics",NIME,Sara,female,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,,,,,,,,,,,,,,,
"['Robert H Jack', 'Jacob Harrison', 'Fabio Morreale', 'Andrew P. McPherson']",Robert,male,"Blacksburg, Virginia, USA",2018,4,Democratising {DMI}s: the relationship of expertise and control intimacy,NIME,Jacob,male,Fabio,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Adnan Marquez-Borbon', 'Juan Pablo Martinez-Avila']",Adnan,male,"Blacksburg, Virginia, USA",2018,2,The Problem of DMI Adoption and Longevity: Envisioning a NIME Performance Pedagogy,NIME,Juan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.98,,,,,,,,,,,,,,,,
"['Martin, Charles Patrick ', 'Jensenius, Alexander Refsum', 'Jim Torresen']",Charles,male,"Blacksburg, Virginia, USA",2018,3,Composing an Ensemble Standstill Work for Myo and Bela,NIME,Alexander,male,Jim,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Alex Nieva', 'Johnty Wang', 'Joseph Malloch', 'Marcelo Wanderley']",Alex,male,"Blacksburg, Virginia, USA",2018,4,The T-Stick: Maintaining a 12 year-old Digital Musical Instrument,NIME,Johnty,male,Joseph,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.0,0.99,0.99,,,,,,,,,,,,,,
"['Christopher Dewey', 'Jonathan P. Wakefield']",Christopher,male,"Blacksburg, Virginia, USA",2018,2,{MIDI} Keyboard Defined DJ Performance System,NIME,Jonathan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Trond Engum', 'Otto Jonassen Wittner']",Trond,male,"Blacksburg, Virginia, USA",2018,2,Democratizing Interactive Music Production over the Internet,NIME,Otto,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,,,,,,,,,,,,,,,,
"['Jean-Francois Charles', 'Cotallo Solares, Carlos', 'Toro Tobon, Carlos', 'Andrew Willette']",Jean-Francois,male,"Blacksburg, Virginia, USA",2018,4,Using the Axoloti Embedded Sound Processing Platform to Foster Experimentation and Creativity,NIME,Carlos,male,Carlos,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Kyriakos Tsoukalas', 'Ivica Ico Bukvic']",Kyriakos,male,"Blacksburg, Virginia, USA",2018,2,Introducing a K-12 Mechatronic NIME Kit,NIME,Ivica,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.94,,,,,,,,,,,,,,,,
"['Daniel Bennett', 'Peter Bennett', 'Anne Roudaut']",Daniel,male,"Blacksburg, Virginia, USA",2018,3,Neurythmic: A Rhythm Creation Tool Based on  Central Pattern Generators,NIME,Peter,male,Anne,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.97,,,,,,,,,,,,,,,
"['James Granger', 'Mateo Aviles', 'Joshua Kirby', 'Austin Griffin', 'Johnny Yoon', 'Raniero A. Lara-Garduno', 'Tracy Hammond']",James,male,"Blacksburg, Virginia, USA",2018,7,Evaluating LED-based interface for Lumanote composition creation tool,NIME,Mateo,male,Joshua,male,Austin,male,Johnny,male,Raniero,male,Tracy,female,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,0.98,0.99,1.0,0.92,,,,,,,,,,,
"['Eduardo Meneses', 'Sergio Freire', 'Marcelo Wanderley']",Eduardo,male,"Blacksburg, Virginia, USA",2018,3,GuitarAMI and GuiaRT: two independent yet complementary projects on augmented nylon guitars,NIME,Sergio,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Ariane de Souza Stolfi', 'Miguel Ceriani', 'Luca Turchet', 'Mathieu Barthet']",Ariane,female,"Blacksburg, Virginia, USA",2018,4,Playsound.space: Inclusive Free Music Improvisations Using Audio Commons,NIME,Miguel,male,Luca,male,Mathieu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.96,0.99,,,,,,,,,,,,,,
"['John Harding', 'Richard Graham', 'Edwin Park']",John,male,"Blacksburg, Virginia, USA",2018,3,"CTRL: A Flexible, Precision Interface for Analog Synthesis",NIME,Richard,male,Edwin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
['Peter Beyls'],Peter,male,"Blacksburg, Virginia, USA",2018,1,Motivated Learning in Human-Machine Improvisation,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Deepak Chandran', 'Ge Wang']",Deepak,male,"Blacksburg, Virginia, USA",2018,2,InterFACE: new faces for musical expression,NIME,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.68,,,,,,,,,,,,,,,,
['Richard Polfreman'],Richard,male,"Blacksburg, Virginia, USA",2018,1,"Hand Posture Recognition: IR, IMU and sEMG",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Joseph Malloch', 'Marlon Mario Schumacher', 'Stephen Sinclair', 'Marcelo Wanderley']",Joseph,male,"Blacksburg, Virginia, USA",2018,4,The Digital Orchestra Toolbox for Max,NIME,Marlon,male,Stephen,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,0.99,0.99,,,,,,,,,,,,,,
"['Bill Manaris', 'Pangur Brougham-Cook', 'Dana Hughes', 'Andrew R. Brown']",Bill,male,"Blacksburg, Virginia, USA",2018,4,JythonMusic: An Environment for Developing Interactive Music Systems,NIME,Pangur,None,Dana,female,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.0,0.95,0.99,,,,,,,,,,,,,,
"['Steven Leib', 'Anıl Çamcı']",Steven,male,"Blacksburg, Virginia, USA",2018,2,Triplexer: An Expression Pedal with New Degrees of Freedom,NIME,Anıl,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.0,,,,,,,,,,,,,,,,
['Halldór Úlfarsson'],Halldór,None,"Blacksburg, Virginia, USA",2018,1,The halldorophone: The ongoing innovation of a cello-like drone instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
"['Kyriakos Tsoukalas', 'Joseph Kubalak', 'Ivica Ico Bukvic']",Kyriakos,male,"Blacksburg, Virginia, USA",2018,3,L2OrkMote: Reimagining a Low-Cost Wearable Controller for a Live Gesture-Centric Music Performance,NIME,Joseph,male,Ivica,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.94,,,,,,,,,,,,,,,
"['Jack Armitage', 'Andrew P. McPherson']",Jack,male,"Blacksburg, Virginia, USA",2018,2,Crafting Digital Musical Instruments: An Exploratory Workshop Study,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"['Ammar Kalo', 'Georg Essl']",Ammar,male,"Blacksburg, Virginia, USA",2018,2,Individual Fabrication of Cymbals using Incremental Robotic Sheet Forming,NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,,,,,,,,,,,,,,,,
['John McDowell'],John,male,"Blacksburg, Virginia, USA",2018,1,Haptic-Listening and the Classical Guitar,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Jacob Harrison', 'Robert H Jack', 'Fabio Morreale', 'Andrew P. McPherson']",Jacob,male,"Blacksburg, Virginia, USA",2018,4,"When is a Guitar not a Guitar? Cultural Form, Input Modality and Expertise",NIME,Robert,male,Fabio,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Jeppe Larsen', 'Hendrik Knoche', 'Dan Overholt']",Jeppe,male,"Blacksburg, Virginia, USA",2018,3,A Longitudinal Field Trial with a Hemiplegic Guitarist Using The Actuated Guitar,NIME,Hendrik,male,Dan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.95,,,,,,,,,,,,,,,
"['Paul Stapleton', 'Maarten van Walstijn', 'Sandor Mehes']",Paul,male,"Blacksburg, Virginia, USA",2018,3,Co-Tuning Virtual-Acoustic Performance Ecosystems: observations on the development of skill and style in the study of musician-instrument relationships,NIME,Maarten,male,Sandor,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.95,,,,,,,,,,,,,,,
"['Fish II, Sands A. ', ""Nicole L'Huillier""]",Sands,female,"Blacksburg, Virginia, USA",2018,2,Telemetron: A Musical Instrument  for Performance in Zero Gravity,NIME,Nicole,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.98,,,,,,,,,,,,,,,,
['Dan Wilcox'],Dan,male,"Blacksburg, Virginia, USA",2018,1,robotcowboy: 10 Years of Wearable Computer Rock,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,
