,AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17,
,"[u'Mann, Steve']",Steve,male,"New York City, NY, United States",2007,1,Natural Interfaces for Musical Expression : Physiphones and a Physics-Based Organology,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Milmoe, Andrew']",Andrew,male,"New York City, NY, United States",2007,1,NIME Performance \& Installation : Sonic Pong V3.0,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Moody, Niall', u'Fells, Nick', u'Bailey, Nicholas']",Niall,male,"New York City, NY, United States",2007,3,Ashitaka : An Audiovisual Instrument,NIME,Nick,male,Nicholas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,1,,,,,,,,,,,,,,,
,"[u'Moriwaki, Katherine', u'Brucken-Cohen, Jonah']",Katherine,female,"New York City, NY, United States",2007,2,MIDI Scrapyard Challenge Workshops,NIME,Jonah,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.88,,,,,,,,,,,,,,,,
,"[u'Morris, Simon']",Simon,male,"New York City, NY, United States",2007,1,"Musique Concrete : Transforming Space , Sound and the City Through Skateboarding",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Nagashima, Yoichi']",Yoichi,male,"New York City, NY, United States",2007,1,"GHI project and ""Cyber Kendang""",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Nakamoto, Misako', u'Kuhara, Yasuo']",Misako,female,"New York City, NY, United States",2007,2,"Circle Canon Chorus System Used To Enjoy A Musical Ensemble Singing ""Frog Round""",NIME,Yasuo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Nilson, Click']",Click,None,"New York City, NY, United States",2007,1,Live Coding Practice,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
,"[u'Ojanen, Mikko', u'Suominen, Jari', u'Kallio, Titti', u'Lassfolk, Kai']",Mikko,male,"New York City, NY, United States",2007,4,Design Principles and User Interfaces of Erkki Kurenniemi's Electronic Musical Instruments of the 1960's and 1970's,NIME,Jari,male,Titti,female,Kai,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0.87,,,,,,,,,,,,,,
,"[u'Oliver, Julian', u'Pickles, Steven']",Julian,male,"New York City, NY, United States",2007,2,Fijuu2 : A Game-Based Audio-Visual Performance and Composition Engine,NIME,Steven,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u""P\\'{e}rez, Miguel A."", u'Knapp, Benjamin', u'Alcorn, Michael']",Miguel,male,"New York City, NY, United States",2007,3,D\'{\i}amair : Composing for Choir and Integral Music Controller,NIME,Benjamin,male,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Paine, Garth', u'Stevenson, Ian', u'Pearce, Angela']",Garth,male,"New York City, NY, United States",2007,3,The Thummer Mapping Project (ThuMP),NIME,Ian,male,Angela,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,1,,,,,,,,,,,,,,,
,"[u'Pereira, Rui']",Rui,male,"New York City, NY, United States",2007,1,Loop-R : Real-Time Video Interface,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,
,"[u'Poepel, Cornelius', u'Marx, G\\""{u}nter']",Cornelius,male,"New York City, NY, United States",2007,2,>hot\_strings SIG,NIME,Günter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1,,,,,,,,,,,,,,,,
,"[u'Porres, Alexandre T.', u'Manzolli, Jonatas']",Alexandre,male,"New York City, NY, United States",2007,2,Adaptive Tuning Using Theremin as Gestural Controller,NIME,Jonatas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Quessy, Alexandre']",Alexandre,male,"New York City, NY, United States",2007,1,Human Sequencer,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Rigler, Jane', u'Seldess, Zachary']",Jane,female,"New York City, NY, United States",2007,2,The Music Cre8tor : an Interactive System for Musical Exploration and Education,NIME,Zachary,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,,,,,,,,,,,,,,,,
,"[u'Robertson, Andrew', u'Plumbley, Mark D.']",Andrew,male,"New York City, NY, United States",2007,2,B-Keeper : A Beat-Tracker for Live Performance,NIME,Mark,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Rohs, Michael', u'Essl, Georg']",Michael,male,"New York City, NY, United States",2007,2,CaMus 2 -- Optical Flow and Collaboration in Camera Phone Music Performance,NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Sa, Adriana']",Adriana,female,"New York City, NY, United States",2007,1,Thresholds,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Sarkar, Mihir', u'Vercoe, Barry']",Mihir,male,"New York City, NY, United States",2007,2,Recognition and Prediction in a Network Music Performance System for {India}n Percussion,NIME,Barry,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.98,,,,,,,,,,,,,,,,
,"[u'Schacher, Jan C.']",Jan,male,"New York City, NY, United States",2007,1,Gesture Control of Sounds in {3D} Space,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,
,"[u'Seo, Jinsil', u'Corness, Greg']",Jinsil,female,"New York City, NY, United States",2007,2,nite\_aura : An Audio-Visual Interactive Immersive Installation,NIME,Greg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Sinclair, Stephen', u'Wanderley, Marcelo M.']",Stephen,male,"New York City, NY, United States",2007,2,Defining a Control Standard for Easily Integrating Haptic Virtual Environments with Existing Audio / Visual Systems,NIME,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Sirguy, Marc', u'Gallin, Emmanuelle']",Marc,male,"New York City, NY, United States",2007,2,Eobody2 : A Follow-up to Eobody{\textquoteright}s Technology,NIME,Emmanuelle,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.98,,,,,,,,,,,,,,,,
,"[u'Stark, Adam M.', u'Plumbley, Mark D.', u'Davies, Matthew E.']",Adam,male,"New York City, NY, United States",2007,3,Real-Time Beat-Synchronous Audio Effects,NIME,Mark,male,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Steiner, Hans-Christoph']",Hans-Christoph,male,"New York City, NY, United States",2007,1,A Unified Toolkit for Accessing Human Interface Devices in Pure Data and Max / MSP,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Takahashi, Masato', u'Tanaka, Hiroya']",Masato,male,"New York City, NY, United States",2007,2,bog : Instrumental Aliens,NIME,Hiroya,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Takegawa, Yoshinari', u'Terada, Tsutomu']",Yoshinari,None,"New York City, NY, United States",2007,2,Mobile Clavier : New Music Keyboard for Flexible Key Transpose,NIME,Tsutomu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1,,,,,,,,,,,,,,,,
,"[u'Till, Bernie C.', u'Benning, Manjinder S.', u'Livingston, Nigel']",Bernie,male,"New York City, NY, United States",2007,3,Wireless Inertial Sensor Package (WISP),NIME,Manjinder,female,Nigel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1,1,,,,,,,,,,,,,,,
,"[u'Tindale, Adam R.']",Adam,male,"New York City, NY, United States",2007,1,A Hybrid Method for Extended Percussive Gesture,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Topper, David']",David,male,"New York City, NY, United States",2007,1,Extended Applications of the Wireless Sensor Array (WISEAR),NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Torre, Giuseppe', u'Fernstr\\""{o}m, Mikael', u""O'Flynn, Brendan"", u'Angove, Philip']",Giuseppe,male,"New York City, NY, United States",2007,4,Celeritas : Wearable Wireless System,NIME,Mikael,male,Brendan,male,Philip,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,
,"[u'Toyoda, Shinichiro']",Shinichiro,male,"New York City, NY, United States",2007,1,Sensillum : An Improvisational Approach to Composition,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Uozumi, Yuta', u'Takahashi, Masato', u'Kobayashi, Ryoho']",Yuta,male,"New York City, NY, United States",2007,3,Bd : A Sound Installation with Swarming Robots,NIME,Masato,male,Ryoho,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,None,,,,,,,,,,,,,,,
,"[u'Van Nort, Doug', u'Wanderley, Marcelo M.']",Doug,male,"New York City, NY, United States",2007,2,Control Strategies for Navigation of Complex Sonic Spaces Transformation of Resonant Models,NIME,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Vanegas, Roy']",Roy,male,"New York City, NY, United States",2007,1,"The MIDI Pick : Trigger Serial Data , Samples, and MIDI from a Guitar Pick",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Vigoda, Benjamin', u'Merrill, David']",Benjamin,male,"New York City, NY, United States",2007,2,JamiOki-PureJoy : A Game Engine and Instrument for Electronically-Mediated Musical Improvisation,NIME,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Villar, Nicolas', u'Gellersen, Hans', u'Jervis, Matt', u'Lang, Alexander']",Nicolas,male,"New York City, NY, United States",2007,4,The ColorDex DJ System : A New Interface for Live Music Mixing,NIME,Hans,male,Matt,male,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,1,1,,,,,,,,,,,,,,
,"[u'Weinberg, Gil', u'Driscoll, Scott']",Gil,male,"New York City, NY, United States",2007,2,The Design of a Robotic Marimba Player -- Introducing Pitch into Robotic Musicianship,NIME,Scott,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1,,,,,,,,,,,,,,,,
,"[u'Wessel, David', u'Avizienis, Rimas', u'Freed, Adrian', u'Wright, Matthew']",David,male,"New York City, NY, United States",2007,4,A Force Sensitive Multi-Touch Array Supporting Multiple {2-D} Musical Control Structures,NIME,Rimas,male,Adrian,male,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,0.97,1,,,,,,,,,,,,,,
,"[u'Wulfson, Harris', u'Barrett, Douglas', u'Winter, Michael']",Harris,male,"New York City, NY, United States",2007,3,Automatic Notation Generators,NIME,Douglas,male,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Young, Diana', u'Deshmane, Anagha']",Diana,female,"New York City, NY, United States",2007,2,Bowstroke Database : A Web-Accessible Archive of Violin Bowing Data,NIME,Anagha,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,,,,,,,,,,,,,,,,
,"[u'Zbyszynski, Michael', u'Wright, Matthew', u'Momeni, Ali', u'Cullen, Daniel']",Michael,male,"New York City, NY, United States",2007,4,Ten Years of Tablet Musical Interfaces at CNMAT,NIME,Matthew,male,Ali,male,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.85,1,,,,,,,,,,,,,,
,"[u'Ananya, Misra', u'Essl, Georg', u'Rohs, Michael']",Misra,male,"Genoa, Italy",2008,3,Microphone as Sensor in Mobile Phone Performance,NIME,Georg,male,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u""Barbosa, A\\'lvaro""]",Álvaro,None,"Genoa, Italy",2008,1,Ten-Hand Piano : A Networked Music Installation,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
,"[u'Bau, Olivier', u'Tanaka, Atau', u'Mackay, Wendy E.']",Olivier,male,"Genoa, Italy",2008,3,The A20 : Musical Metaphors for Interface Design,NIME,Atau,None,Wendy,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,None,0.99,,,,,,,,,,,,,,,
,"[u'Bencina, Ross', u'Wilde, Danielle', u'Langley, Somaya']",Ross,male,"Genoa, Italy",2008,3,Gesture $\approx$ Sound Experiments : Process and Mappings,NIME,Danielle,female,Somaya,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1,0.83,,,,,,,,,,,,,,,
,"[u'Berdahl, Edgar', u'Smith, Julius O.']",Edgar,male,"Genoa, Italy",2008,2,A Tangible Virtual Vibrating String : A Physically Motivated Virtual Musical Instrument Interface,NIME,Julius,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Berdahl, Edgar', u'Steiner, Hans-Christoph', u'Oldham, Collin']",Edgar,male,"Genoa, Italy",2008,3,Practical Hardware and Algorithms for Creating Haptic Musical Instruments,NIME,Hans-Christoph,male,Collin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Bou\\""{e}nard, Alexandre', u'Gibet, Sylvie', u'Wanderley, Marcelo M.']",Alexandre,male,"Genoa, Italy",2008,3,Enhancing the Visualization of Percussion Gestures by Virtual Character Animation,NIME,Sylvie,female,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Bouillot, Nicolas', u'Wozniewski, Mike', u'Settel, Zack', u'Cooperstock, Jeremy R.']",Nicolas,male,"Genoa, Italy",2008,4,A Mobile Wireless Augmented Guitar,NIME,Mike,male,Zack,male,Jeremy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.98,0.99,,,,,,,,,,,,,,
,"[u'Bozzolan, Matteo', u'Cospito, Giovanni']",Matteo,male,"Genoa, Italy",2008,2,SMuSIM : a Prototype of Multichannel Spatialization System with Multimodal Interaction Interface,NIME,Giovanni,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Butler, Jennifer']",Jennifer,female,"Genoa, Italy",2008,1,Creating Pedagogical Etudes for Interactive Instruments,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Camurri, Antonio', u'Canepa, Corrado', u'Coletta, Paolo', u'Mazzarino, Barbara', u'Volpe, Gualtiero']",Antonio,male,"Genoa, Italy",2008,5,Mappe per Affetti Erranti : a Multimodal System for Social Active Listening and Expressive Performance,NIME,Corrado,male,Paolo,male,Barbara,female,Gualtiero,male,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.99,1,1,,,,,,,,,,,,,
,"[u'Canazza, Sergio', u'Dattolo, Antonina']",Sergio,male,"Genoa, Italy",2008,2,New Data Structure for Old Musical Open Works,NIME,Antonina,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.91,,,,,,,,,,,,,,,,
,"[u'Chordia, Parag', u'Rae, Alex']",Parag,male,"Genoa, Italy",2008,2,Real-Time Raag Recognition for Interactive Music,NIME,Alex,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.87,,,,,,,,,,,,,,,,
,"[u'Ciglar, Miha']",Miha,male,"Genoa, Italy",2008,1,"""3rd. Pole"" -- A Composition Performed via Gestural Cues",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,
,"[u'Coghlan, Niall', u'Knapp, Benjamin']",Niall,male,"Genoa, Italy",2008,2,Sensory Chairs : A System for Biosignal Research and Performance,NIME,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Corness, Greg']",Greg,male,"Genoa, Italy",2008,1,Performer Model : Towards a Framework for Interactive Performance Based on Perceived Intention,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Crevoisier, Alain', u'Kellum, Greg']",Alain,male,"Genoa, Italy",2008,2,Transforming Ordinary Surfaces into Multi-touch Controllers,NIME,Greg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Delle Monache, Stefano', u'Polotti, Pietro', u'Papetti, Stefano', u'Rocchesso, Davide']",Stefano,male,"Genoa, Italy",2008,4,Sonically Augmented Found Objects,NIME,Pietro,male,Stefano,male,Davide,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,
,"[u'Demey, Michiel', u'Leman, Marc', u'Bossuyt, Frederick', u'Vanfleteren, Jan']",Michiel,male,"Genoa, Italy",2008,4,The Musical Synchrotron : Using Wireless Motion Sensors to Study How Social Interaction Affects Synchronization with Musical Tempo,NIME,Marc,male,Frederick,male,Jan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0.6,,,,,,,,,,,,,,
,"[u'Dimitrov, Smilen', u'Alonso, Marcos', u'Serafin, Stefania']",Smilen,None,"Genoa, Italy",2008,3,"Developing Block-Movement, Physical-Model Based Objects for the Reactable",NIME,Marcos,male,Stefania,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1,0.99,,,,,,,,,,,,,,,
,"[u'Dubrau, Josh', u'Havryliv, Mark']",Josh,male,"Genoa, Italy",2008,2,P[a]ra[pra]xis : Poetry in Motion,NIME,Mark,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Eigenfeldt, Arne', u'Kapur, Ajay']",Arne,male,"Genoa, Italy",2008,2,An Agent-based System for Robotic Musical Performance,NIME,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,,,,,,,,,,,,,,,,
,"[u'Endo, Ayaka', u'Kuhara, Yasuo']",Ayaka,female,"Genoa, Italy",2008,2,Rhythmic Instruments Ensemble Simulator Generating Animation Movies Using {Bluetooth} Game Controller,NIME,Yasuo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Favilla, Stuart', u'Cannon, Joanne', u'Hicks, Tony', u'Chant, Dale', u'Favilla, Paris']",Stuart,male,"Genoa, Italy",2008,5,Gluisax : Bent Leather Band{\textquoteright}s Augmented Saxophone Project,NIME,Joanne,female,Tony,male,Dale,male,Paris,female,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,1,0.91,0.61,,,,,,,,,,,,,
,"[u'Flanigan, Lesley', u'Doro, Andrew']",Lesley,female,"Genoa, Italy",2008,2,Plink Jet,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1,,,,,,,,,,,,,,,,
,"[u'Follmer, Sean', u'Warren, Chris', u'Marquez-Borbon, Adnan']",Sean,male,"Genoa, Italy",2008,3,The Pond : Interactive Multimedia Installation,NIME,Chris,male,Adnan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.93,1,,,,,,,,,,,,,,,
,"[u'Fraietta, Angelo']",Angelo,male,"Genoa, Italy",2008,1,Open Sound Control : Constraints and Limitations,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Freed, Adrian']",Adrian,male,"Genoa, Italy",2008,1,Application of new Fiber and Malleable Materials for Agile Development of Augmented Instruments and Controllers,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
,"[u'Gatzsche, Gabriel', u'Mehnert, Markus', u'St\\""{o}cklmeier, Christian']",Gabriel,male,"Genoa, Italy",2008,3,Interaction with Tonal Pitch Spaces,NIME,Markus,male,Christian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,0.99,,,,,,,,,,,,,,,
,"[u'Geiger, Christian', u'Reckter, Holger', u'Paschke, David', u'Schulz, Florian', u'Poepel, Cornelius']",Christian,male,"Genoa, Italy",2008,5,Towards Participatory Design and Evaluation of Theremin-based Musical Interfaces,NIME,Holger,male,David,male,Florian,male,Cornelius,male,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1,1,1,0.98,,,,,,,,,,,,,
,"[u'Godbehere, Andrew B.', u'Ward, Nathan J.']",Andrew,male,"Genoa, Italy",2008,2,Wearable Interfaces for Cyberphysical Musical Expression,NIME,Nathan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Goina, Maurizio', u'Polotti, Pietro']",Maurizio,male,"Genoa, Italy",2008,2,Elementary Gestalts for Gesture Sonification,NIME,Pietro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Grosshauser, Tobias']",Tobias,male,"Genoa, Italy",2008,1,"Low Force Pressure Measurement : Pressure Sensor Matrices for Gesture Analysis , Stiffness Recognition and Augmented Instruments",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Hadjakos, Aristotelis', u'Aitenbichler, Erwin', u'M\\""{u}hlh\\""{a}user, Max']",Aristotelis,male,"Genoa, Italy",2008,3,The Elbow Piano : Sonification of Piano Playing Movements,NIME,Erwin,male,Max,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.98,0.98,,,,,,,,,,,,,,,
,"[u'Hansen, Kjetil F.', u'Alonso, Marcos']",Kjetil,male,"Genoa, Italy",2008,2,More DJ Techniques on the reactable,NIME,Marcos,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'Hartman, Ethan', u'Cooper, Jeff', u'Spratt, Kyle']",Ethan,male,"Genoa, Italy",2008,3,Swing Set : Musical Controllers with Inherent Physical Dynamics,NIME,Jeff,male,Kyle,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1,0.99,,,,,,,,,,,,,,,
,"[u'Hashida, Mitsuyo', u'Ito, Yosuke', u'Katayose, Haruhiro']",Mitsuyo,male,"Genoa, Italy",2008,3,A Directable Performance Rendering System : Itopul,NIME,Yosuke,male,Haruhiro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,"[u'Hayafuchi, Kouki', u'Suzuki, Kenji']",Kouki,female,"Genoa, Italy",2008,2,MusicGlove : A Wearable Musical Controller for Massive Media Library,NIME,Kenji,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.96,,,,,,,,,,,,,,,,
,"[u'Hazlewood, William R.', u'Knopke, Ian']",William,male,"Genoa, Italy",2008,2,Designing Ambient Musical Information Systems,NIME,Ian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.99,,,,,,,,,,,,,,,,
,"[u""Henriques, Tom\\'{a}s""]",Tomás,male,"Genoa, Italy",2008,1,META-{EV}I Innovative Performance Paths with a Wind Controller,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
,"[u'Jacobs, Robert', u'Feldmeier, Mark', u'Paradiso, Joseph A.']",Robert,male,"Genoa, Italy",2008,3,A Mobile Music Environment Using a PD Compiler and Wireless Sensors,NIME,Mark,male,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.99,,,,,,,,,,,,,,,
,"[u'Jo, Kazuhiro', u'Nagano, Norihisa']",Kazuhiro,male,"Genoa, Italy",2008,2,"Monalisa : ""See the Sound , Hear the Image""",NIME,Norihisa,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,"[u'de Jong, Staas']",Staas,None,"Genoa, Italy",2008,1,The Cyclotactor : Towards a Tactile Platform for Musical Interaction,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
,"[u'K\\""{a}llblad, Anna', u'Friberg, Anders', u'Svensson, Karl', u'Edelholm, Elisabet S.']",Anna,female,"Genoa, Italy",2008,4,Hoppsa Universum -- An Interactive Dance Installation for Children,NIME,Anders,male,Karl,male,Elisabet,female,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,
,"[u'Kamiyama, Yusuke', u'Tanaka, Mai', u'Tanaka, Hiroya']",Yusuke,male,"Genoa, Italy",2008,3,Oto-Shigure : An Umbrella-Shaped Sound Generator for Musical Expression,NIME,Mai,female,Hiroya,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.97,1,,,,,,,,,,,,,,,
,"[u'Kiefer, Chris', u'Collins, Nick', u'Fitzpatrick, Geraldine']",Chris,male,"Genoa, Italy",2008,3,HCI Methodology For Evaluating Musical Controllers : A Case Study,NIME,Nick,male,Geraldine,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.99,1,,,,,,,,,,,,,,,
,"[u'Kim-Boyle, David']",David,male,"Genoa, Italy",2008,1,"Network Musics - Play , Engagement and the Democratization of Performance",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"[u'Kimura, Mari']",Mari,female,"Genoa, Italy",2008,1,Making of VITESSIMO for Augmented Violin : Compositional Process and Performance,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
,"[u'Kuyken, Bart', u'Verstichel, Wouter', u'Bossuyt, Frederick', u'Vanfleteren, Jan', u'Demey, Michiel', u'Leman, Marc']",Bart,male,"Genoa, Italy",2008,6,The HOP Sensor : Wireless Motion Sensor,NIME,Wouter,male,Frederick,male,Jan,male,Michiel,male,Marc,male,,,,,,,,,,,,,,,,,,,,,,,0.99,1,1,0.6,1,1,,,,,,,,,,,,
