AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"[u'Leonardo Jenkins', u'Shawn Trail', u'George Tzanetakis', u'Peter Driessen', u'Wyatt Page']",Leonardo,male,"Daejeon, Republic of Korea",2013,5,"An Easily Removable, wireless Optical Sensing System (EROSS) for the Trumpet",NIME,Shawn,male,George,male,Peter,male,Wyatt,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9,0.99,1.0,1.0,,,,,,,,,,,,,
[u'Alexander Refsum Jensenius'],Alexander,male,"Daejeon, Republic of Korea",2013,1,Kinectofon: Performing with Shapes in Planes,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Jer{\\^{o}}nimo Barbosa, Filipe Calegario, Veronica Teichrieb, Geber Ramalho', u'Giordano Cabral']",Filipe,male,"Daejeon, Republic of Korea",2013,2,A Drawing-Based Digital Music Instrument,NIME,Giordano,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.91,,,,,,,,,,,,,,,,
[u'David John'],David,male,"Daejeon, Republic of Korea",2013,1,Updating the Classifications of Mobile Music Projects,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Bridget Johnson', u'Ajay Kapur']",Bridget,female,"Daejeon, Republic of Korea",2013,2,MULTI-TOUCH INTERFACES FOR PHANTOM SOURCE POSITIONING IN LIVE SOUND DIFFUSION,NIME,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
[u'Andrew Johnston'],Andrew,male,"Daejeon, Republic of Korea",2013,1,Fluid Simulation as Full Body Audio-Visual Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Shoken Kaneko'],Shoken,None,"Daejeon, Republic of Korea",2013,1,A Function-Oriented Interface for Music Education and Musical Expressions: ``the Sound Wheel'',NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
"[u'Ajay Kapur', u'Dae Hong Kim', u'Raakhi Kapur', u'Kisoon Eom']",Ajay,male,"Daejeon, Republic of Korea",2013,4,New Interfaces for Traditional Korean Music and Dance,NIME,Dae,male,Raakhi,female,Kisoon,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.75,0.5,None,,,,,,,,,,,,,,
[u'kazuhiro jo'],kazuhiro,male,"Daejeon, Republic of Korea",2013,1,cutting record - a record without (or with) prior acoustic information,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Fumitaka Kikukawa', u'Sojiro Ishihara', u'Masato Soga', u'Hirokazu Taki']",Fumitaka,None,"Daejeon, Republic of Korea",2013,4,Development of A Learning Environment for Playing Erhu by Diagnosis and Advice regarding Finger Position on Strings,NIME,Sojiro,None,Masato,male,Hirokazu,None,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1.0,None,,,,,,,,,,,,,,
"[u'Taehun Kim', u'Stefan Weinzierl']",Taehun,None,"Daejeon, Republic of Korea",2013,2,Modelling Gestures in Music Performance with Statistical Latent-State Models,NIME,Stefan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,,
"[u'Toshihiro KITA', u'Naotoshi Osaka']",Toshihiro,male,"Daejeon, Republic of Korea",2013,2,Providing a feeling of other remote learners' presence in an online learning environment via realtime sonification of Moodle access log,NIME,Naotoshi,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,,,,,,,,,,,,,,,,
"[u'Niklas Kl{\\""u}gel', u'Georg Groh']",Niklas,male,"Daejeon, Republic of Korea",2013,2,Towards Mapping Timbre to Emotional Affect,NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
[u'Rebecca Kleinberger'],Rebecca,female,"Daejeon, Republic of Korea",2013,1,"{PAM}DI Music Box: Primarily Analogico-Mechanical, Digitally Iterated Music Box",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Chi-Hsia Lai', u'Till Bovermann']",Chi-Hsia,None,"Daejeon, Republic of Korea",2013,2,Audience Experience in Sound Performance,NIME,Till,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.92,,,,,,,,,,,,,,,,
"[u'Sang Won Lee', u'Georg Essl']",Sang,male,"Daejeon, Republic of Korea",2013,2,Live Coding The Mobile Music Instrument,NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.0,,,,,,,,,,,,,,,,
"[u'Sang Won Lee', u'Jason Freeman']",Sang,male,"Daejeon, Republic of Korea",2013,2,echobo : Audience Participation Using The Mobile Music Instrument,NIME,Jason,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.0,,,,,,,,,,,,,,,,
"[u'Qian Liu', u'Yoon Chung Han', u'JoAnn Kuchera-Morin', u'Matthew Wright']",Qian,female,"Daejeon, Republic of Korea",2013,4,Cloud Bridge: a Data-driven Immersive Audio-Visual Software Interface,NIME,Yoon,female,JoAnn,female,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.5,0.99,1.0,,,,,,,,,,,,,,
"[u'Kenneth W.K. Lo', u'Chi Kin Lau', u'Michael Xuelin Huang', u'Wai Wa Tang', u'Grace Ngai', u'Stephen C.F. Chan']",Kenneth,male,"Daejeon, Republic of Korea",2013,6,"Mobile DJ: a Tangible, Mobile Platform for Active and Collaborative Music Listening",NIME,Chi,female,Michael,male,Wai,male,Grace,female,Stephen,male,,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,1.0,0.77,0.99,1.0,,,,,,,,,,,,
[u'Simon Lui'],Simon,male,"Daejeon, Republic of Korea",2013,1,A Compact Spectrum-Assisted Human Beatboxing Reinforcement Learning Tool On Smartphone,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
[u'Charles Martin'],Charles,male,"Daejeon, Republic of Korea",2013,1,Performing with a Mobile Computer System for Vibraphone,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Ryan McGee'],Ryan,male,"Daejeon, Republic of Korea",2013,1,VOSIS: a Multi-touch Image Sonification Interface,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"[u'Chad McKinney', u'Nick Collins']",Chad,male,"Daejeon, Republic of Korea",2013,2,An Interactive {3D} Network Music Space,NIME,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Alex McLean', u'EunJoo Shin', u'Kia Ng']",Alex,male,"Daejeon, Republic of Korea",2013,3,Paralinguistic Microphone,NIME,EunJoo,None,Kia,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,None,0.95,,,,,,,,,,,,,,,
[u'Andrew McPherson'],Andrew,male,"Daejeon, Republic of Korea",2013,1,Portable Measurement and Mapping of Continuous Piano Gesture,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Romain Michon', u'Myles Borins', u'David Meisenholder']",Romain,male,"Daejeon, Republic of Korea",2013,3,The Black Box,NIME,Myles,male,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,,,,,,,,,,,,,,,
"[u'Parag Kumar Mital', u'Mick Grierson']",Parag,male,"Daejeon, Republic of Korea",2013,2,Mining Unlabeled Electronic Music Databases through {3D} Interactive Visualization of Latent Component Relationships,NIME,Mick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
[u'Tom Mudd'],Tom,male,"Daejeon, Republic of Korea",2013,1,Feeling for Sound: Mapping Sonic Data to Haptic Perceptions,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Jim Murphy', u'James McVay', u'Ajay Kapur', u'Dale Carnegie']",Jim,male,"Daejeon, Republic of Korea",2013,4,Designing and Building Expressive Robotic Guitars,NIME,James,male,Ajay,male,Dale,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,0.91,,,,,,,,,,,,,,
"[u'Yoshihito Nakanishi', u'Seiichiro Matsumura', u'Chuichi Arakawa']",Yoshihito,male,"Daejeon, Republic of Korea",2013,3,POWDER BOX: An Interactive Device with Sensor Based Replaceable Interface For Musical Session,NIME,Seiichiro,None,Chuichi,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,None,,,,,,,,,,,,,,,
[u'Sangbong Nam'],Sangbong,None,"Daejeon, Republic of Korea",2013,1,Musical Poi (mPoi),NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
"[u'Reid Oda', u'Adam Finkelstein', u'Rebecca Fiebrink']",Reid,male,"Daejeon, Republic of Korea",2013,3,Towards Note-Level Prediction for Networked Music Performance,NIME,Adam,male,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Jieun Oh', u'Ge Wang']",Jieun,female,"Daejeon, Republic of Korea",2013,2,LOLOL: Laugh Out Loud On Laptop,NIME,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.61,,,,,,,,,,,,,,,,
"[u'Laurel Pardue', u'Andrew McPherson']",Laurel,female,"Daejeon, Republic of Korea",2013,2,Near-Field Optical Reflective Sensing for Bow Tracking,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Laurel Pardue', u'William Sebastian']",Laurel,female,"Daejeon, Republic of Korea",2013,2,Hand-Controller for Combined Tactile Control and Motion Tracking,NIME,William,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Brett Park', u'David Gerhard']",Brett,male,"Daejeon, Republic of Korea",2013,2,Rainboard and Musix: Building dynamic isomorphic interfaces,NIME,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"[u'Gibeom Park', u'Kyogu Lee']",Gibeom,None,"Daejeon, Republic of Korea",2013,2,Sound Spray - can-shaped sound effect device,NIME,Kyogu,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,
"[u'Saebyul Park', u'Seonghoon Ban', u'Dae Ryong Hong', u'Woon Seung Yeo']",Saebyul,None,"Daejeon, Republic of Korea",2013,4,Sound Surfing Network (SSN): Mobile Phone-based Sound Spatialization with Audience Collaboration,NIME,Seonghoon,male,Dae,male,Woon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,0.75,0.86,,,,,,,,,,,,,,
"[u'Tae Hong Park', u'Oriol Nieto']",Tae,male,"Daejeon, Republic of Korea",2013,2,Fortissimo: Force-Feedback for Mobile Devices,NIME,Oriol,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,1.0,,,,,,,,,,,,,,,,
"[u'Olivier Perrotin', u""Christophe d'Alessandro""]",Olivier,male,"Daejeon, Republic of Korea",2013,2,Adaptive mapping for improved pitch accuracy on touch user interfaces,NIME,Christophe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"[u'Adam Place', u'Liam Lacey', u'Thomas Mitchell']",Adam,male,"Daejeon, Republic of Korea",2013,3,AlphaSphere,NIME,Liam,male,Thomas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,1.0,,,,,,,,,,,,,,,
[u'Thomas Resch'],Thomas,male,"Daejeon, Republic of Korea",2013,1,note~ for Max - An extension for Max/MSP for Media Arts \& music,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Charles Roberts', u'Angus Forbes', u'Tobias H{\\""o}llerer']",Charles,male,"Daejeon, Republic of Korea",2013,3,Enabling Multimodal Mobile Interfaces for Musical Performance,NIME,Angus,male,Tobias,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.96,1.0,,,,,,,,,,,,,,,
"[u'Charles Roberts', u'Graham Wakefield', u'Matthew Wright']",Charles,male,"Daejeon, Republic of Korea",2013,3,The Web Browser As Synthesizer And Interface,NIME,Graham,male,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Ulysse Rosselet', u'Alain Renaud']",Ulysse,male,"Daejeon, Republic of Korea",2013,2,Jam On: a new interface for web-based collective music performance,NIME,Alain,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Mayank Sanganeria', u'Kurt Werner']",Mayank,male,"Daejeon, Republic of Korea",2013,2,GrainProc: a real-time granular synthesis interface for live performance,NIME,Kurt,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Avneesh Sarwate', u'Rebecca Fiebrink']",Avneesh,male,"Daejeon, Republic of Korea",2013,2,Variator: A Creativity Support Tool for Music Composition,NIME,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
[u'Jan C. Schacher'],Jan,male,"Daejeon, Republic of Korea",2013,1,Hybrid Musicianship - Teaching Gestural Interaction with Traditional and Digital Instruments,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,
[u'Jan C. Schacher'],Jan,male,"Daejeon, Republic of Korea",2013,1,"The Quarterstaff, a Gestural Sensor Instrument",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,
"[u'Jeffrey Scott', u'Mickey Moorhead', u'Justin Chapman', u'Ryan Schwabe', u'Youngmoo E. Kim']",Jeffrey,male,"Daejeon, Republic of Korea",2013,5,Personalized Song Interaction Using a Multi Touch Interface,NIME,Mickey,male,Justin,male,Ryan,male,Youngmoo,female,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.67,1.0,0.99,0.5,,,,,,,,,,,,,
[u'St\\aale A. Skogstad'],Ståle,male,"Daejeon, Republic of Korea",2013,1,Filtering Motion Capture Data for Real-Time Applications,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Edmar Soria', u'Roberto Morales-Manzanares']",Edmar,male,"Daejeon, Republic of Korea",2013,2,Multidimensional sound spatialization by means of chaotic dynamical systems,NIME,Roberto,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,1.0,,,,,,,,,,,,,,,,
"[u'Koray Tahiro{\\u g}lu', u'Nuno N. Correia', u'Miguel Espada']",Koray,male,"Daejeon, Republic of Korea",2013,3,"PESI Extended System: In Space, On Body, with 3 Musicians",NIME,Nuno,male,Miguel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Will W. W. Tang', u'Stephen Chan', u'Grace Ngai', u'Hong-va Leong']",Will,male,"Daejeon, Republic of Korea",2013,4,Computer Assisted Melo-rhythmic Generation of Traditional Chinese Music from Ink Brush Calligraphy,NIME,Stephen,male,Grace,female,Hong-va,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.99,None,,,,,,,,,,,,,,
"[u'Sam Tarakajian', u'David Zicarelli', u'Joshua Clayton']",Sam,male,"Daejeon, Republic of Korea",2013,3,Mira: Liveness in iPad Controllers for Max/MSP,NIME,David,male,Joshua,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.0,0.99,,,,,,,,,,,,,,,
"[u'Ben Taylor', u'Jesse Allison']",Ben,male,"Daejeon, Republic of Korea",2013,2,Plum St: Live Digital Storytelling with Remote Browsers,NIME,Jesse,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.93,,,,,,,,,,,,,,,,
"[u'Miles Thorogood', u'Philippe Pasquier']",Miles,male,"Daejeon, Republic of Korea",2013,2,Impress: A Machine Learning Approach to Soundscape Affect Classification for a Music Performance Environment,NIME,Philippe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"[u'Hayami Tobise', u'Yoshinari Takegawa', u'Tsutomu Terada', u'Masahiko Tsukamoto']",Hayami,None,"Daejeon, Republic of Korea",2013,4,Construction of a System for Recognizing Touch of Strings for Guitar,NIME,Yoshinari,None,Tsutomu,male,Masahiko,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1.0,1.0,,,,,,,,,,,,,,
"[u'Tomohiro Tokunaga', u'Michael Lyons']",Tomohiro,male,"Daejeon, Republic of Korea",2013,2,Enactive Mandala: Audio-visualizing Brain Waves,NIME,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Jim Torresen', u'Yngve Hafting', u'Kristian Nymoen']",Jim,male,"Daejeon, Republic of Korea",2013,3,A New Wi-Fi based Platform for Wireless Sensor Data Collection,NIME,Yngve,male,Kristian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.94,,,,,,,,,,,,,,,
"[u'Stefano Trento', u'Stefania Serafin']",Stefano,male,"Daejeon, Republic of Korea",2013,2,Flag beat: a novel interface for rhythmic musical expression for kids,NIME,Stefania,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Thomas Walther', u""Damir Ismailovi{\\'c}"", u'Bernd Br{\\""u}gge']",Thomas,male,"Daejeon, Republic of Korea",2013,3,Rocking the Keys with a Multi-Touch Interface,NIME,Damir,male,Bernd,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Johnty Wang', u""Nicolas d'Alessandro"", u'Aura Pon', u'Sidney Fels']",Johnty,None,"Daejeon, Republic of Korea",2013,4,PENny: An Extremely Low-Cost Pressure-Sensitive Stylus for Existing Capacitive Touchscreens,NIME,Nicolas,male,Aura,female,Sidney,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,0.98,0.76,,,,,,,,,,,,,,
[u'Antonius Wiriadjaja'],Antonius,male,"Daejeon, Republic of Korea",2013,1,Gamelan Sampul: Laptop Sleeve Gamelan,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Katie Anna E Wolf', u'Rebecca Fiebrink']",Katie,female,"Daejeon, Republic of Korea",2013,2,SonNet: A Code Interface for Sonifying Computer Network Data,NIME,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Xiao Xiao', u'Anna Pereira', u'Hiroshi Ishii']",Xiao,female,"Daejeon, Republic of Korea",2013,3,Conjuring the Recorded Pianist: A New Medium to Experience Musical Performance,NIME,Anna,female,Hiroshi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,1.0,1.0,,,,,,,,,,,,,,,
"[u'Qi Yang', u'Georg Essl']",Qi,male,"Daejeon, Republic of Korea",2013,2,Visual Associations in Augmented Keyboard Performance,NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,,,,,,,,,,,,,,,,
"[u'Jaeseong You', u'Red Wierenga']",Jaeseong,None,"Daejeon, Republic of Korea",2013,2,Remix_Dance 3: Improvisatory Sound Displacing on Touch Screen-Based Interface,NIME,Red,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.67,,,,,,,,,,,,,,,,
[u'Edward Zhang'],Edward,male,"Daejeon, Republic of Korea",2013,1,KIB: Simplifying Gestural Instrument Creation Using Widgets,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Yehiel Amo', u'Gil Zissu', u'Shaltiel Eloul', u'Eran Shlomi', u'Dima Schukin', u'Almog Kalifa']",Yehiel,None,"London, United Kingdom",2014,6,A Max/MSP Approach for Incorporating Digital Music via Laptops in Live Performances of Music Bands,NIME,Gil,male,Shaltiel,None,Eran,male,Dima,male,Almog,female,,,,,,,,,,,,,,,,,,,,,,,None,0.95,None,0.99,0.61,0.8,,,,,,,,,,,,
"[u'Anders-Petter Andersson', u'Birgitta Cappelen', u'Fredrik Olofsson']",Anders-Petter,None,"London, United Kingdom",2014,3,Designing Sound for Recreation and Well-Being,NIME,Birgitta,female,Fredrik,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,1.0,,,,,,,,,,,,,,,
"[u""Daniel G\\'abana Arellano"", u'Andrew McPherson']",Daniel,male,"London, United Kingdom",2014,2,Radear: A Tangible Spinning Music Sequencer,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u""Adria\\'n Barenca"", u'Milos Corak']",Adrián,None,"London, United Kingdom",2014,2,The Manipuller II: Strings within a Force Sensing Ring,NIME,Milos,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,,
"[u'Timothy J Barraclough', u'Jim Murphy', u'Ajay Kapur']",Timothy,male,"London, United Kingdom",2014,3,New Open-Source Interfaces for Group Based Participatory Performance of Live Electronic Music,NIME,Jim,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,,,,,,,,,,,,,,,
[u'Edgar Berdahl'],Edgar,male,"London, United Kingdom",2014,1,How to Make Embedded Acoustic Instruments,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Ilias Bergstrom', u'Joan Llobera']",Ilias,male,"London, United Kingdom",2014,2,OSC-Namespace and OSC-State: Schemata for Describing the Namespace and State of OSC-Enabled Systems,NIME,Joan,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.82,,,,,,,,,,,,,,,,
"[u'Axel Berndt', u'Nadia Al-Kassab', u'Raimund Dachselt']",Axel,male,"London, United Kingdom",2014,3,TouchNoise: A Particle-based Multitouch Noise Modulation Interface,NIME,Nadia,female,Raimund,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,1.0,,,,,,,,,,,,,,,
"[u'Florent Berthaut', u'Jarrod Knibbe']",Florent,male,"London, United Kingdom",2014,2,Wubbles: A Collaborative Ephemeral Musical Instrument,NIME,Jarrod,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'John Bowers', u'Annika Haas']",John,male,"London, United Kingdom",2014,2,"Hybrid Resonant Assemblages: Rethinking Instruments, Touch and Performance in New Interfaces for Musical Expression",NIME,Annika,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"[u'John Bowers', u'Tim Shaw']",John,male,"London, United Kingdom",2014,2,Reappropriating Museum Collections: Performing Geology Specimens and Meterology Data as New Instruments for Musical Expression,NIME,Tim,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"[u'Oliver Bown', u'Renick Bell', u'Adam Parkinson']",Oliver,male,"London, United Kingdom",2014,3,Examining the Perception of Liveness and Activity in Laptop Music: Listeners' Inference about what the Performer is Doing from the Audio Alone,NIME,Renick,male,Adam,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,,,,,,,,,,,,,,,
"[u'Mason Bretan', u'Gil Weinberg']",Mason,male,"London, United Kingdom",2014,2,Chronicles of a Robotic Musical Companion,NIME,Gil,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.95,,,,,,,,,,,,,,,,
[u'Ivica Bukvic'],Ivica,male,"London, United Kingdom",2014,1,Pd-L2Ork Raspberry Pi Toolkit as a Comprehensive Arduino Alternative in K-12 and Production Scenarios,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
[u'Rob Canning'],Rob,male,"London, United Kingdom",2014,1,Interactive Parallax Scrolling Score Interface for Composed Networked Improvisation,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"[u'Mark Cartwright', u'Bryan Pardo']",Mark,male,"London, United Kingdom",2014,2,SynthAssist: Querying an Audio Synthesizer by Vocal Imitation,NIME,Bryan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Regina Collecchia', u'Dan Somen', u'Kevin McElroy']",Regina,female,"London, United Kingdom",2014,3,The Siren Organ,NIME,Dan,male,Kevin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,1.0,,,,,,,,,,,,,,,
"[u'Nick Collins', u'Alex McLean']",Nick,male,"London, United Kingdom",2014,2,"Algorave: A Survey of the History, Aesthetics and Technology of Live Performance of Algorithmic Electronic Dance Music",NIME,Alex,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.87,,,,,,,,,,,,,,,,
"[u'Josep Comajuncosas', u'Enric Guaus']",Josep,male,"London, United Kingdom",2014,2,Conducting Collective Instruments : A Case Study,NIME,Enric,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.97,,,,,,,,,,,,,,,,
[u'Luke Dahl'],Luke,male,"London, United Kingdom",2014,1,Triggering Sounds from Discrete Air Gestures: What Movement Feature Has the Best Timing?,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Palle Dahlstedt'],Palle,male,"London, United Kingdom",2014,1,Circle Squared and Circle Keys Performing on and with an Unstable Live Algorithm for the Disklavier,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Palle Dahlstedt', u'Patrik Karlsson', u'Katarina Widell', u'Tony Blomdahl']",Palle,male,"London, United Kingdom",2014,4,YouHero Making an Expressive Concert Instrument from the GuitarHero Controller,NIME,Patrik,male,Katarina,female,Tony,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,1.0,,,,,,,,,,,,,,
