Title,Author(s),,Year,Country
INTERFACING THE NETWORK: AN EMBEDDED APROACH TO NETWORK INSTRUMENT CREATION,"Davis, Tom; Geistweidt, Jason; Renaud, Alain; Dixon, Jason",,2012,Slovenia
REAL-TIME AUDIO SYNTHESIS IN A WIRELESS INTERACTIVE SENSOR PLATFORM,"Fang, Dalei; Qin, Yi; Chen, Qiangbin; Lu, Jialiang",,2012,Slovenia
PERFORMING ARTICULATION AND EXPRESSION THROUGH A HAPTIC INTERFACE,"Hayes, Lauren",,2012,Slovenia
PLAYING WITH LIGHTS: MUSIC GENERATION USING THE LED CUBE,"Jackowski, Dariusz; Stępniewicz, Jakub",,2012,Slovenia
"SABRE: AFFORDANCES, REALIZATIONS AND PERSPECTIVES","Schiesser, Sébastien; Schache, Jan C.",,2012,Slovenia
VARIANCE IN REPETITIVE GAMES MUSIC,"Berndt, Axel",,2012,Slovenia
MUSIC AS A MEDIATOR OF EMOTION,"van ‘T Klooster, Adinda",,2012,Slovenia
AIRDUINO: AN INEXPENSIVE DIY MIDI WIND CONTROLLER,"Anderson, Timothy",,2012,Slovenia
TACTILE SOUND AESTHETIC EXPERIENCE,"Zubrycka, Justyna; Cyrta, Paweł",,2012,Slovenia
"DIGITAL ADAPTIONS OF THE SCORES FOR CAGE VARIATIONS I, II AND III","Vickery, Lindsay",,2012,Slovenia
COMPUTING WITH CHORD SPACES,"Quick, Donya; Hudak, Paul",,2012,Slovenia
ASSISTANCE FOR NOVICE USERS ON CREATING SONGS FROM JAPANESE LYRICS,"Fukayama, Satoru; Saito, Daisuke; Sagayama, Shigeki",,2012,Slovenia
SOUND TO SCALE TO SOUND: A SETUP FOR MICROTONAL EXPLORATION AND COMPOSITION,"Cornelis, Olmo; Six, Joren",,2012,Slovenia
"THE XYOLIN: A 10-OCTAVE CONTINUOUS-PITCH XYLOPHONE, AND OTHER EXISTEMOLOGICAL INSTRUMENTS","Mann, Steve; Janzen, Ryan",,2012,Slovenia
THE INVESTMENT OF PLAY: EXPRESSION AND AFFORDANCES IN DIGITAL MUSICAL INSTRUMENT DESIGN,"Cannon, Joanne; Favilla, Stuart",,2012,Slovenia
ADAPTING GENERAL PURPOSE INTERFACES TO SYNTHESIS ENGINES USING UNSUPERVISED DIMENSIONALITY REDUCTION TECHNIQUES AND INVERSE MAPPING FROM FEATURES TO PARAMETERS,"Fasciani, Stefano; Wyse, Lonce",,2012,Slovenia
A MICROPHONE ARRAY INTERFACE FOR REAL-TIME INTERACTIVE MUSIC PERFORMANCE,"Salvati, Daniele; Canazza, Sergio; Foresti, Gian Luca",,2012,Slovenia
STATISTICAL PARSING FOR HARMONIC ANALYSIS OF JAZZ CHORD SEQUENCES,"Granroth-Wilding, Mark; Steedman, Mark",,2012,Slovenia
A NEW APPROACH FOR CONSTRAINT PROGRAMMING IN MUSIC USING RELATION DOMAINS,"Van Cauwelaert, Sascha; Gutiérrez, Gustavo; Van Roy, Peter",,2012,Slovenia
A METHOD FOR COMPUTER CHARACTERIZATION OF “GESTURE” IN MUSICAL IMPROVISATION,"Dobrian, Christopher",,2012,Slovenia
DEVELOPING AND COMPOSING FOR A ROBOTIC MUSICIAN USING DIFFERENT MODES OF INTERACTION,"Bretan, Mason; Cicconet, Marcelo; Nikolaidis, Ryan; Weinberg, Gil",,2012,Slovenia
A FRAMEWORK FOR THE CHOREOGRAPHY OF SOUND,"Eckel, Gerhard; Rumori, Martin; Pirrò, David; González-Arroyo, Ramón",,2012,Slovenia
SPATOSC: PROVIDING ABSTRACTION FOR THE AUTHORING OF INTERACTIVE SPATIAL SUDIO EXPERIENCES,"Wozniewski, Mike; Settel, Zack; Quessy, Alexandre; Matthews, Tristan; Courchesne, Luc",,2012,Slovenia
CYCLICAL FLOW: SPATIAL SYNTHESIS SOUND TOY AS MULTICHANNEL COMPOSITION TOOL,"Dolphin, Andrew",,2012,Slovenia
SOUNDS OF SIMULATIONS: DATA LISTENING SPACE,"Vogt, Katharina; Pirro, David; Rumori, Martin; Hoeldrich, Robert",,2012,Slovenia
SEMANTIC MOVIE SCENE ANNOTATION FOR RAPID PROTOTYPING OF SCORE MUSIC,"Rubisch, Julian; Doppler, Jakob; Schuster, Stefan; Raffaseder, Hannes",,2012,Slovenia
PHRASE BOUNDARY ESTIMATION IN MUSIC PERFORMANCE WITH HMM-BASED UNSUPERVISED LEARNING,"Kim, Tae Hun; Weinzierl, Stefan",,2012,Slovenia
AUDIO-TO-AUDIO ALIGNMENT USING PARTICLE FILTERS TO HANDLE SMALL AND LARGE SCALE PERFORMANCE DISCREPANCIES,"Xiong, Bo; Izmirll, Ozgur",,2012,Slovenia
BROWSING MUSIC AND SOUND USING GESTURES IN A SELF-ORGANIZED 3D SPACE,"Odowichuk, Gabrielle; Tzanetakis, George",,2012,Slovenia
ADVANCING EXPERT HUMAN-COMPUTER INTERACTION THROUGH MUSIC,"Smith, Benjamin; Garnett, Guy E.",,2012,Slovenia
SURRSOUND,"Tsai, Kun-Ting; Liu, Che-Wei; Tseng, Yu-Chung",,2012,Slovenia
MOTIFVIEWER: HIERARCHICAL PATTERN DETECTION,"Thomas, Verena; Clausen, Michael",,2012,Slovenia
PARTIAL TRACKING IN TWO STEPS,"Siska, Ádám",,2012,Slovenia
COMPUTER AIDED MELODIC ANALYSIS USING SUFFIX TREE,"Jekovec, Matevž; Demšar, Janez; Brodnik, Andrej",,2012,Slovenia
"ALLOTROPE: WORKS FOR SOLO TRUMPET, LAPTOP, PEDALS AND GUITAR AMPLIFIER","Knight, Peter",,2012,Slovenia
ITERATIVE SYNAESTHETIC COMPOSING WITH MULTIMEDIA SIGNALS,"Forbes, Angus; Odai, Kiyomitsu",,2012,Slovenia
VUZIK: A PAINTING GRAPHIC SCORE INTERFACE FOR COMPOSING AND CONTROL OF SOUND GENERATION,"Pon, Aura; Ichino, Junko; Eagle, David; Sharlin, Ehud; D’Alessandro, Nicolas; Carpendale, Sheelagh",,2012,Slovenia
PRECISE PITCH CONTROL IN REAL TIME CORPUS-BASED CONCATENATIVE SYNTHESIS,"Einbond, Aaron; Trapani, Christopher; Schwarz, Diemo",,2012,Slovenia
VISUALIZATION OF PERCEPTUAL QUALITIES IN TEXTURAL SOUNDS,"Grill, Thomas; Flexer, Arthur",,2012,Slovenia
THE YIN YANG THEORY IN SOUND AND MUSIC: A FIRST EXPLORATION,"Gabrielli, Leonardo; Gabrielli, Daniele",,2012,Slovenia
NAVIGATING VARIATION: COMPOSING FOR AUDIO MOSAICING,"Schwarz, Diemo; Hackbarth, Benjamin",,2012,Slovenia
COMPRESSED MULTIDIMENSIONAL TREES FOR EVOLUTIONARY MUSIC REPRESENTATION,"Pirnia, Abbas; McCormack, Jon",,2012,Slovenia
"FLEXIBILITY, SUBTLETY AND SPONTANEITY IN NEW INSTRUMENT DESIGN: THE FEEDBACK JOYPAD","Mudd, Tom",,2012,Slovenia
Sound Element Spatializer,"McGee, Ryan; Wright, Matthew",,2011,UK
Spatial Mastering - a new concept for spatial sound design in object-based audio scenes,"Melchior, Frank; Michaelis, Uwe; Steffens, Robert",,2011,UK
Controlling Real Time Sound Spatialization Using The Radiodrum,"Ness, Steven; Odowichuk, Gabrielle; Driessen, Peter; Tzanetakis, George",,2011,UK
COSM: A toolkit for composing immersive audio-visual worlds of agency and autonomy,"Wakefield, Graham; Smith, Wesley",,2011,UK
The influence of sub-woofer frequencies within a multi-channel loudspeaker configuration on the perception of spatial attributes in a concert hall environment,"Sazdov, Robert",,2011,UK
"Phenomenology, Spatial Music and the Composer: prelude to a phenomenology of space in acousmatic music","Macedo, Frederico",,2011,UK
Why things don't work: What you need to know about spatial audio,"Kendall, Gary S.; Cabrera, Andrés",,2011,UK
The Spatialisation of Stereophony: Taking Positions in Post-War Electroacoustic Music,"Valiquet, Patrick",,2011,UK
Developing methods for computer programming by musical performance and composition,"Kirke, Alexis; Miranda, Eduardo R.",,2011,UK
Sound synthesis and composition with compression-controlled feedback,"Battey, Brett",,2011,UK
PhinGen: A Physically Informed Stochastic Synthesis Generator,"Döbereiner, Luc",,2011,UK
"The music21 Stream: A New Object Model for Representing, Filtering, and Transforming Symbolic Musical Structures","Ariza, Christopher; Cuthbert, Michael Scott",,2011,UK
Flood Tide See Further: Sonification as Musical Performance,"Eacott, John",,2011,UK
Multi-dimensional spatial sound design for 'On the String',"Lindborg, PerMagnus; Beetuan Koh, Joyce",,2011,UK
"CYCLIC-N, a real-time mobile multi-touch application for composition, improvisation and education","Gao, Mingfei Mike",,2011,UK
Representation and Interchange of Sound Spatialization Data for Compositional Applications,"Bresson, Jean; Schumacher, Marlon",,2011,UK
Unconventional Computing for Music: Sound Synthesis with Slime Mould,"Miranda, Eduardo R.; Adamatzky, Andrew; Jones, Jeff",,2011,UK
Aspects of second order feedback AM synthesis,"Lazzarini, Victor; Kleimola, Jari; Timoney, Joseph; Välimäki, Vesa",,2011,UK
Designing Synthetic Reverberators in Kronos,"Norilo, Vesa",,2011,UK
Composing with Swarm Algorithms - Creating interactive audio-visual pieces with flocking behavior,"Schacher, Jan C.; Bisig, Daniel; Neukom, Martin",,2011,UK
A Graphical User Interface for Supercollider Audio Units,"Trützschler von Falkenstein, Jan; Baracskai, Zlatko",,2011,UK
Progress Report on the EAVI BCI Toolkit for Music: Musical Applications of Algorithms for use with consumer brain computer interfaces,"Grierson, Mike; Kiefer, Chris; Yee-King, Matthew",,2011,UK
The NLN-Player: A system for nonlinear music in games,"van Nispen tot Pannerden, Than; Huiberts, Sander; Donders, Sebastiaan; Koch, Stan",,2011,UK
Musical Tempo Curves,"Berndt, Axel",,2011,UK
An autonomous timbre matching improviser,"Yee-King, Matthew John",,2011,UK
Gestural Mappings: Towards the Creation of a Three Dimensional Composition Environment,"Pearse, Stephen A.",,2011,UK
An ecologically valid experiment for the comparison of established spatial techniques,"Lynch, Hugh; Sazdov, Robert",,2011,UK
Anton - A Rule-Based Composition System,"Boenn, Georg; Brain, Martin; De Vos, Marina; ffitch, John",,2011,UK
Cellular automata dynamic control for sound design with histogram mapping synthesis and the multitype voter model,"Serquera, Jaime; Miranda, Eduardo R.",,2011,UK
PVOC KIT: new applications of the phase vocoder,"Erbe, Tom",,2011,UK
Multi-modal instrument: towards a platform for comparative controller evaluation,"Polfreman, Richard",,2011,UK
Cloud chamber: a performance involving real time two-way interaction between subatomic radioactive particles and violinist,"Kirke, Alexis; Miranda, Eduardo; Chiaramonte, Antonino; Troisi, Anna R.; Matthias, John; Radtke, Jeff; Fry, Nicholas; McCabe, Catherine; Bull, Martyn",,2011,UK
Automatic Synthesiser Programming,"Clement, Ross",,2011,UK
Cloning in Max/MSP Patches,"Gold, Nicolas; Krinke, Jens; Harman, Mark; Binkley, David",,2011,UK
Stimulus Complexity and Time Judgments,"Pasoulas, Aki",,2011,UK
Towards a comprehensive framework for electro-acoustic music analysis,"Hong Park, Tae; Hyman, David; Leonard, Peter; Hermans, Phillip",,2011,UK
Mapping change over time within stereo Acousmatic Music – A Case Study,"Woolley, Jason",,2011,UK
Sound-types: a new framework for symbolic sound analysis and synthesis,"Emanuele Cella, Carmine",,2011,UK
A Virtual Orchestra for Human-Computer Music Performance,"Dannenberg, Roger B.",,2011,UK
Analysis-by-Performance: Gesturally-Controlled Voice Synthesis as an Input for Modelling of Vibrato in Singing,"d’Alessandro, Nicolas; Dutoit, Thierry; Fels, Sidney; Ooge, Christophe",,2011,UK
Sound synthesis model based on the simulation of a gaussian bouncing wave packet,"Ramos, Javier; Cadiz, Rodrigo F.",,2011,UK
A Multi-perspective user interface for music signal analysis,"Müller, Meinard; Konz, Verena; Jiang, Nanzhu; Zuo, Zhe",,2011,UK
Multimodal Control of Music and Fire Patterns,"Todoroff, Todor; Benmadhkour, Radhwan; Chessini, Ricardo",,2011,UK
Real-time Musical Applications on an Experimental Operating System for Multi-Core Processors,"Colmenares, Juan A.; Saxton, Ian; Battenberg, Eric; Avizienis, Rimas; Peters, Nils; Asanovic, Krste; Kubiatowicz, John D.; Wessel, David",,2011,UK
Screen Scores: New Media Music Manuscripts,"Hope, Cat; Vickery, Lindsay",,2011,UK
History of electroacoustic music through filmed sources: an example at IRCAM,"Bossis, Bruno",,2011,UK
New forms of hybrid musical discourse: an exploration of stylistic and procedural crossfertilisation between contemporary art music and electronic dance music,"Ratcliffe, Robert",,2011,UK
XTH SENSE: a study of muscle sounds for an experimental paradigm of musical performance,"Donnarumma, Marco",,2011,UK
Real-time emulation of the Clavinet,"Gabrielli, Leonardo; Välimäki, Vesa; Bilbao, Stefan",,2011,UK
Physical Thinking: two approached to mechanical sound design,"Pigott, Jon; Kontogeorgakopoulos, Alexandros",,2011,UK
Analysis and Synthesis of Hand Clapping Sounds Based on Adaptive Dictionary,"Ahmad, Wasim; Kondoz, Ahmet M.",,2011,UK
Emergent Construction of melodic pitch and hierarchy through agents communicating emotion without melodic intelligence,"Kirke, Alexis; Miranda, Eduardo R.",,2011,UK
A Demonstration of Bow Articulation Recognition with Wekinator and K-Bow,"Schedel, Margaret; Fiebrink, Rebecca",,2011,UK
"Maximillian: An easy to use, cross platform C++ Toolkit for interactive audio and synthesis applications","Grierson, Mike; Kiefer, Chris",,2011,UK
Towards using expressive performance algorithms for typist emotion detection,"Kirke, Alexis; Bonnot, Matthieu; Miranda, Eduardo R.",,2011,UK
A perceptually based onset detector for real-time and offline audio parsing,"Brent, William",,2011,UK
The Harmonic Matrix: Exploring the geometry of Pitch,"Bond, Daryn",,2011,UK
Mapping 3D Objects To Synthesised Sound Using A Simulated Physics System,"Perkins, Rhys",,2011,UK
The M2 Compositions: A Technical Overview of a Modular Work Flow Towards the Creation of a Video Score,"Canning, Rob",,2011,UK
KLANGPILOT - a new interface for “writing” (not only) synthetic sounds,"Kretz, Johannes",,2011,UK
Flexible spatial design for dance performance,"Otondo, Felipe",,2011,UK
Constructing Music Applications for Smartphones,"Hamanaka, Masathoshi; Yoshiya, Mikito; Yoshida, Shyuhei",,2011,UK
Sound Level of Detail in Interactive Audiographic 3D Scenes,"Schwarz, Diemo; Cahen, Roland; Brument, François; Ding, Hui; Jacquemin, Christian",,2011,UK
Untouchable instruments and Performances,"Nagashima, Yoichi",,2011,UK
Representing and Automating Rhythmic Pattern Transformations,"Wyse, Lonce; Tan, Keith; Kellock, Peter",,2011,UK
Tiny Jungle: Psychedelic Techniques in Audio-Visual Composition,"Weinel, Jonathan",,2011,UK
"The Visible String, a Direct Audiovisual Model","Schroeder, Benjamin; Ainger, Marc; Parent, Richard",,2011,UK
The Control of the CHANT Synthesizer in OpenMusic: Modelling Continuous Aspects in Sound Synthesis,"Bresson, Jean; Stroppa, Marco",,2011,UK
CACIE CB: Genetic programming based composition-aid system by shopping basket interface,"Ando, Daichi",,2011,UK
Composing with Absent Sound,"Haworth, Christopher",,2011,UK
Ophidian and the Uncanny Valley,"Bessell, David",,2011,UK
Application of multi-agent whale modeling to an interactive saxophone and whales duet,"Kirke, Alexis; Freeman, Samuel; Miranda, Eduardo R.",,2011,UK
Wii Play Piano: Composing for Piano and Wii Remote,"Jette, Christopher; Kirchoff, Keith",,2011,UK
LiveCell: Real-Time Score Generation Through Interactive Generative Composition,"Ash, Kingsley Michael; Stavropoulos, Niko",,2011,UK
Music – Imagination - Technology,"Emmerson, Simon",,2011,UK
Studio based composers in collaboration: a socioculturally framed study,"Dobson, Elizabeth; Flewitt, Rosie; Littleton, Karen; Miell, Dorothy",,2011,UK
An interface to support creative studio practice,"King, Andrew",,2011,UK
"Innovation, Interaction, experience and imagination in computer music education","Cipriani, Alessandro; Giri, Maurizio",,2011,UK
Design and Implementation of a Piano Practice Support System using a Real-Time Fingering Recognition Technique,"Takegawa, Yoshinari; Tsukamoto, Masahiko; Terada, Tsutomu",,2011,UK
Using the iPhone for live-electronics in my composition Irrgaerten for two pianos,"Tutschku, Hans",,2011,UK
Automated Ad Hoc Networking for Mobile and Hybrid Music Performance,"Essl, Georg",,2011,UK
Multi-touch interaction principles for collaborative real-time music activities: towards a pattern language,"Xambó, Anna; Laney, Robin; Dobbyn, Chris; Jordà, Sergi",,2011,UK
World Stage: A Crowd-sourcing Paradigm for Interactive Social / Mobile Music,"Wang, Ge; Oh, Jieun; Salazar, Spencer; Hamilton, Robert",,2011,UK
The measurement of performer and audience emotional state as a new means of computer music interaction: a performance case study,"Knapp, Benjamin R.; Lyon, Eric",,2011,UK
Unnecessary Constraints: A Challenge to Some Assumptions of Digital Musical Instrument Design,"Linson, Adam",,2011,UK
Control: Software for End-User Interface Programming and Interactive Performance,"Roberts, Charles",,2011,UK
Aspects of gesture in Digital Musical Instrument Design,"Brent, William",,2011,UK
The Timelessness of Maximal Music,"Menezes, Flo",,2011,UK
Sculpture as Music Interface,"Hoadley, Richard",,2011,UK
Infuriating Nonlinear Reverberator,"Puckette, Miller",,2011,UK
Variable 4: A Dynamical Composition For Weather Systems,"Bulley, James; Jones, Daniel",,2011,UK
What are we making? The work-without-content in live computer music,"Impett, Jonathan",,2011,UK
Reconsidering Laptop Orchestras as a Computational Grid for Music Performance,"Beck, Stephen David; Branton, Chris",,2011,UK
Developing a user-relative motion detection interface for mobile devices,"Benatan, Matt; Symonds, Ian; Ng, Kia",,2011,UK
Interactive High Performance Computing for Music,"Smith, Benjamin D.; Garnett, Guy E.",,2011,UK
Scheduling and composing with Risset eternal accelerando rhythms,"Stowell, Dan",,2011,UK
Modeling Speed Doubling in Carnatic Music,"Subramanian, Srikumar K.; Wyse, Lonce; McGee, Kevin",,2011,UK
Towards musical interaction: 'Schismatics' for e-violin and computer,"Hayden, Sam; Kanno, Mieko",,2011,UK
"Dynamic, Instance-based, object-oriented programming in Max/MSP using open sound control message delegation","Freed, Adrian; MacCallum, John; Schmeder, Andrew",,2011,UK
SCMIR: A SuperCollider Music Information Retrieval Library,"Collins, Nick",,2011,UK
The IXI Lang: A SuperCollider Parasite for Live Coding,"Magnusson, Thor",,2011,UK
An architecture for creating hosting plug-ins for use in digital audio workstations,"Gibson, Darrell; Polfreman, Richard",,2011,UK
"Auksalaq, A telematic opera","Deal, Scott; Burtner, Matthew",,2011,UK
Reproducibility and random access in sound synthesis,"Rutz, Hanns Holger; Miranda, Eduardo; Eckel, Gerhard",,2011,UK
Electroacoustic Music: Overcoming Analysis Paralysis,"Dahan, Kevin",,2011,UK
Using gaming engine for virtual prototyping and impact assessment of complex interactive art installations,"Ico Bukvic, Ivica; Betz, Scott",,2011,UK
Towards the Beat of a Different Drummer: A Journey into the Loss of Fidelity in Drums and Electronics,"Constanzo, Rodrigo",,2011,UK
The Effect of Visual Modalities on Human Perception of Emotion from Music,"Kim, Kwan; Lee, Samuel; Seung Yeo, Woon",,2011,UK
"Suspended Imprints: An Exploration of Sound, Space and the Inner Monologue","Horseman, Samantha",,2011,UK
Chor-Respondent: A dynamic system in the musical domain,"Hancock, Oliver",,2011,UK
Audio Technology at American University,"Oehlers, Paul; Brent, William; Harvey, Michael",,2011,UK
Towards a Model for the Humanisation of Pitch Drift in Singing Voice Synthesis,"Stables, Ryan; Athwal, Cham; Bullock, Jamie",,2011,UK
Algorithmic multi-genre classification of music: an empirical study,"Sanden, Chris; Zhang, John Z.",,2011,UK
A musical instrument using in vitro neural networks,"Miranda, Eduardo; Nasuto, Slawomir; Troisi, Anna R.; Downes, Julia; Chiaramonte, Antonino; Spencer, Matthew; Hammond, Mark; Xydas, Dimitris; Whalley, Ben; Becerra, Victor; Warwick, Kevin",,2011,UK
A similarity algorithm for interactive style imitation,"Martin, Aengus; Jin, Craig T.; McEwan, Alistair; Martens, William L.",,2011,UK
Tracking Virtuosity and Flow in Computer Music,"Nash, Chris; Blackwell, Alan",,2011,UK
Real-time Grammar-based parsing and restructuring of musical streams,"Parson, Dale E.; Panuski, Ryan R.",,2011,UK
Real-time Sliding Phase Vocoder using a Commodity GPU,"Bradford, Russell; ffitch, John; Dobson, Richard",,2011,UK
The ModFM Synthesis Vocoder,"Lazzarini, Victor; Timoney, Joseph",,2011,UK
Sound Cross-synthesis and Morphing Using Dictionary-based Methods,"Collins, Nick; Sturm, Bob L.",,2011,UK
Hypothesis for the foundation of a laptop orchestra,"Gasperini, Marco",,2011,UK
Confessions of a Live Coder,"Magnusson, Thor",,2011,UK
Real-time Visual Beat Tracking using a Comb Filter Matrix,"Robertson, Andrew; Stark, Adam M.; Plumbley, Mark D.",,2011,UK
Texture: Visual Notation for Live Coding of Pattern,"McLean, Alex; Wiggins, Geraint",,2011,UK
Cabbage Audio Plugin Framework,"Walsh, Rory",,2011,UK
Digital Modeling of the Vintage Telephone Sound,"Oksanen, Sami; Välimäki, Vesa",,2011,UK
The Integra Framework for rapid modular audio application development,"Bullock, Jamie; Frisk, Henrik",,2011,UK
Supernova - A scalable parallel audio synthesis server for SuperCollider,"Blechmann, Tim",,2011,UK
Characterizing Tempo Change In Musical Performances,"Dannenberg, Roger B.; Mohan, Sukrit",,2011,UK
Gesture Analysis of radiodrum data,"Ness, Steven R.; Methabi, Sonmez; Odowichuk, Gabrielle; Tzanetakis, George; Schloss, Andrew W.",,2011,UK
Tactile Feedback Tool: approaching the foot pedal problem in live electronic music,"Michailidis, Tychonas; Berweck, Sebastian",,2011,UK
Audience-Participation Techniques Based on Social Mobile Computing,"Oh, Jieun; Wang, Ge",,2011,UK
Software for Schenkerian Analysis,"Marsden, Alan",,2011,UK
Inclusive Interconnections: Retaining Diversity in Networked Laptop Performance,"Booth, Graham",,2011,UK
Prioritizing Audio Features Selection Using Analysis Hierarchy Process As A Mean To Extend User Control In Concatenative Sound Synthesis,"Norowi, Noris Mohd; Miranda, Eduardo",,2011,UK
Exploring the potential of the dedicated XML syntax for diatonic harmonica tablatures,"Tomberg, Vladimir; Ivanov, Eugene; Laanpere, Mart",,2011,UK
The Horizontal Spacing of Graphical Notation,"Solomon, Mike",,2011,UK
The Prosthetic Mbira: Prosthesis as Design Strategy,"Vriezenga, Ciska; Rebelo, Pedro",,2011,UK
Analytical and Compositional Applications of a Network-Based Scale Model in music21,"Ariza, Christopher; Cuthbert, Michael Scott",,2011,UK
CBPSC: Corpus-based Processing for SuperCollider,"Stoll, Thomas",,2011,UK
Combining EEG Frontal asymmetry studies with affective algorithmic composition and expressive performance models,"Kirke, Alexis; Miranda, Eduardo",,2011,UK
UDKOSC: An immersive musical environment,"Hamilton, Robert",,2011,UK
"Artaud's Snake: gesture, time and play - a composer's report on the use and development of the WiGI infra red wireless gestural system","Scott, Richard",,2011,UK
Concepts and Practical Considerations of Platform-Independent Design of Mobile Music Environments,"Wook Kim, Jong; Essl, Georg",,2011,UK
Sound Synthesis with a New Elasticity Model,"Sanan, Patrick",,2011,UK
Robot-Assisted Playing With Fingering Support For A Saxophone,"Kurosawa, Yoshifumi; Suzuki, Kenji",,2010,USA
Composition With Path : Musical Sonification Of Geo- Referenced Data With Online Map Interface,"Park, Si Hwa; Kim, Seunghung; Lee, Samuel",,2010,USA
Perception Based Multi-Genre Labeling On Music Data,"Sanden, Chris; Befus, Chad R.",,2010,USA
On Bimodal Guitar-Chord Recognition,"Cicconet, Marcelo; Carvalho, Paolo Cezar; Velho, Luiz",,2010,USA
Pyschoacoustic Feature Based Perceptual Segmentation,"Befus, Chad; Sanden, Chris; Zhang, John Z.",,2010,USA
"Business Model, For Violin, Cello And Live Electronic","Nuono, Gilbert",,2010,USA
"System Of Shadows, An Interactive Performance Environment For Trumpet/Flugelhorn And Kyma","Belet, Brian; Ruppenthal, Stephan",,2010,USA
Clapping Machine Music Variations: A Composition For Acoustic/Laptop Ensemble,"Trueman, Daniel",,2010,USA
Gestural Shaping And Transformation In A Universal Space Of Structure And Sound,"Thalmann, Florian; Mazzola, Guerino",,2010,USA
An Embedded Hardware Platform For Fungible Interfaces,"Hollinger, Avrum; Thibodeau, Joseph; Wanderley, Marcelo M.",,2010,USA
Forest Fire Dynamics In Sonic Organisation,"Jones, Daniel; D'inverno, Mark",,2010,USA
Gesture Sampling For Instrumental Sound Synthesis: Violin Bowing As A Case Study,"Maestre, Esteban; Pérez, Alfonso; Ramírez, Rafael",,2010,USA
Spectralconway: Cellular Automata Off The Grid,"Mclaughlin,  Scott; Tremblay,  Pierre Alexandra",,2010,USA
Spatializing Timbre With Corpus-Based Concatenative Synthesis,"Einbond, Aaron; Schwarz, Diemo",,2010,USA
A Modular Sound Descriptor Analysis Framework For Relaxed-Real-Time Applications,"Schwarz, Diemo; Schnell, Norbert",,2010,USA
The Arcontinuo: A Performed-Centered Electronic Musical Instrument,"Bertin, Claudio; Cadiz, Rodrigo; De La Cuadra, Patricio; De Ioannes, Gabriel; Sylleros, Alvaro",,2010,USA
Argos: An Open Source Application For Building Multi- Touch Musical Interfaces,"Diakopoulos, Dimitri; Kapur, Ajay",,2010,USA
"A Wireless, Real-Time, Social Music Performance System For Mobile Phones","Gibson,  Ian; Davey, Matthew",,2010,USA
A Real-Time Human Body Skeletonization Algorithm For Max/Msp/Jitter,"Baltazar, Andrés; Guedes, Carlo; Pennycook, Bruce; Gouyon, Fabien",,2010,USA
Soundcatcher: Explorations In Audio-Looping And Time-Freezing Using An Open-Air Gestural Controller,"Vigliensoni, Gabriel; Wanderley, Marcelo M.",,2010,USA
Eye.Breathe.Music: A Multimeadia Controller That Uses Eye Movement And Breathing,"Bailey, Sam; Scott, Adam; Wright, Harry; Symonds, Ian; Ng, Kia",,2010,USA
Developing Systems For Improvisation Based On Listening,"Van Nort, Doug; Oliveros, Pauline; Braasch, Jonas",,2010,USA
Vigorous Music-Making: The Inherent “Liveliness” Of A T-Stick Instrumentalist,"Stewart, D. Andrew",,2010,USA
"Grainstick: A Collaborative, Interactive Sound Installation","Leslie, Grace; Schwarz, Diemo; Warusfel, Olivier; Bevilacqua, Frederic; Zambolin, Bruno; Jodlowski, Pierre; Schnell, Norbert",,2010,USA
The Lattice Harp: A New Hybrid Instrument And Controller,"Raffel, Colin; Kruge, Nick; Douglas, Diane; Berdahl, Edgar; Ju, Wendy",,2010,USA
The Timestruct Toolkit: Imposing Temporal Structure In Max,"Glennon, Aron; Didkovski, Nick",,2010,USA
Toward Understanding Human-Computer Interaction In Composing The Instrument,"Fiebrink, Rebecca; Trueman, Daniel; Britt, Cameron; Nagai, Michelle; Kaczmarek, Konrad; Early, Michael; Daniel, MR; Hege, Anne; Cook, Perry",,2010,USA
Tactile Feedback Based On Acoustic Pressure Waves,"Ciglar, Miha",,2010,USA
Aurafx: A Simple And Flexible Approach To Interactive Audio Effect-Based Composition And Performance,"Dannenberg, Roger; Kotcher, Robert",,2010,USA
User-Guided Evolution Of Granular Synthesis,"Coia, Corrado; Ross, Brian",,2010,USA
A Flexible And Dynamic C++ Framework And Library For Digital Audio Signal Processing,"Place, Timothy; Lossius, Trond; Peters, Nils",,2010,USA
A Semi-Virtual Violin For Investigations Into Sound Quality And Musician-Instrument Interaction,"Türkheim, Friedrich V.; Smit, Thorsten; Mores, Robert",,2010,USA
Dynamic Playlist Generation: A Case Study,"Wagner, Chad",,2010,USA
Rhythmic Similarity Using Metrical Profile Matching,"Smith, Leigh",,2010,USA
Exploring “Artist Image” Using Content-Based Analysis Of Promotional Photos,"Libeks, Janis; Turnbull, Douglas",,2010,USA
A Survey Of Chord Distances With Comparison For Chord Analysis,"Rocher, Thomas; Robine, Matthias; Hanna, Pierre",,2010,USA
Piano Arrangement System Based On Composers' Arrangement Processes,"Onuma, Sho; Hamanaka, Masatoshi",,2010,USA
Spectral Synthesis Of Rhythms,"Loviscach, Joern",,2010,USA
Systematic And Quantative Electro-Acoustic Music Analysis (Sqema),"Park, Tae Hong; Hyman, David; Leonard, Peter; Wu, Wen",,2010,USA
The Mobile Ambisonics Equiptment Of The ICST,"Faerber, Peter; Kocher, Philippe",,2010,USA
